Hello!	哈佬。
Why is this computer here?	點解部電腦喺呢到嘅？
You can leave your hat on.	你頂帽可以照戴住。
You can tear the box open.	你直接撕開個箱咪得囉。
You need to stop drinking.	你唔好再飲酒喇。
You should eat more fruit.	你應該食多啲生果。
You'd better not tell him.	你最好都係唔好同佢講。
Beware of pickpockets here.	呢度要因住俾人撻嘢。
Both spellings are correct.	兩個串法都啱。
Bring a couple more chairs.	攞多兩三張凳嚟吖。
Can you give me some money?	你可唔可以俾啲錢我呀？
Did you enjoy your holiday?	放假玩得開唔開心呀？
Do you come here every day?	你係咪每日都嚟呢度㗎？
Do you need our assistance?	你需唔需要我哋嘅協助？
Don't trample on the grass.	唔好喺個草地度行。
Excuse me, what time is it?	唔好意思，依家幾點？
Five plus two equals seven.	五加二喺七。
Have you read this article?	你有冇睇過呢篇文章呀？
He forgot to lock the door.	佢唔記得咗鎖門。
He had a lot of work to do.	佢有好多嘢要做。
He pays with a credit card.	佢用信用咭俾錢。
He showed us some pictures.	佢俾咗啲相我哋睇。
He's always looking at you.	佢成日都望住你。
His girlfriend is Japanese.	佢個女朋友係日本人。
His son is eight years old.	佢個仔今年八歲。
Hurry up, or we'll be late.	快啲啦，如果唔係我哋就遲到㗎喇。
I already have an envelope.	我已經有信封㗎喇。
I am not used to hard work.	我做唔慣粗重嘢。
I can read without glasses.	我唔戴眼鏡都睇到書。
I can't really describe it.	我唔知應該點形容。
I don't care for green tea.	我唔鍾意綠茶。
I don't know where that is.	我唔知邊度嚟。
I forget your phone number.	我唔記得咗你個電話號碼。
I got up late this morning.	我今朝晏咗起身。
I grew up in the mountains.	我喺山區長大。
I have a lot of work to do.	我有好多嘢要做。
I have something in my eye.	有啲嘢入咗我隻眼。
I know nothing about music.	音樂嘅嘢我真係識條鐵。
I know nothing about music.	音樂嘅嘢我真係識條春。
I know nothing about music.	音樂嘅嘢我真係識條毛。
I think he'll never return.	我諗佢永遠都唔會返嚟㗎喇。
I think it's going to rain.	我諗就快落雨喇。
I'll give you five dollars.	我俾五蚊你啦。
I'm going to do that again.	我會再做多次。
I've lost interest in golf.	我對哥爾夫球已經冇晒興趣喇。
It is likely to rain today.	今日好可能會落雨。
Let me get you some coffee.	我斟杯咖啡俾你飲吖。
My hometown is very pretty.	我鄉下好靚。
Please let me try the game.	唔該俾我試下隻game啦。
Please let me try the game.	請你俾我試吓隻遊戲啦。
Please send me a catalogue.	唔該寄本目錄俾我。
She has a house by the sea.	佢喺海邊有間屋。
She is playing with a doll.	佢喺度玩緊毛公仔。
She's loved by her friends.	佢好受朋友歡迎。
Silk feels soft and smooth.	絲綢摸上手又軟又滑。
Stay here and wait for her.	留喺呢度等佢。
That's too good to be true.	邊有咁大隻蛤乸隨街跳呀？
The box he found was empty.	佢搵到嗰個箱係吉嘅。
They advanced on the enemy.	佢哋向住敵人前進。
They are on their way home.	佢哋返緊屋企。
They recognized each other.	佢哋認得對方。
This book is worth reading.	呢本書值得一睇。
Tom is writing a novel now.	阿Tom而家寫緊一本小說。
Tom wanted to come with us.	Tom想嚟同我哋一齊。
Tom wants to take you home.	Tom想帶你返屋企。
Tom was my first boyfriend.	阿Tom係我第一個男朋友。
We have no school tomorrow.	我哋聽日唔使返學。
Well, that's what Tom said.	咁Tom係咁講嘅。
What did they hit you with?	佢哋係用咩嚟打你㗎？
When did you learn to swim?	你幾時學識游水㗎？
When was this temple built?	呢座廟係幾時起㗎？
Where is the changing room?	試身室喺邊㗎？
Why are you looking so sad?	你做咩好似好唔開心噉嘅？
Why did you tell this joke?	點解你會講呢個笑話嘅？
Why did you tell this joke?	你做乜講呢個笑話？
You don't have to go there.	你唔使去。
At first, I didn't like him.	我一開頭唔係好鍾意佢。
Canada is larger than Japan.	加拿大大過日本。
Could you drive more slowly?	你可唔可以揸慢少少呀？
Did you ever see that movie?	你有冇睇過嗰套戲呀？
Did you read the whole book?	你有冇睇晒成本書呀？
Did you watch TV last night?	你尋晚有冇睇電視呀？
Do you have shoes and socks?	你有冇鞋同埋襪呀？
Does he go to school by bus?	佢係咪搭巴士返學㗎？
Don't lean against the wall.	唔好挨埋埲牆度。
Have you ever been to Tokyo?	你有冇去過東京呀？
He banged the door in anger.	佢嬲爆爆噉砰埋咗道門。
He can speak five languages.	佢識講五國語言。
He did not know where to go.	佢唔知去邊好。
He doesn't like to eat fish.	佢唔鍾意食魚。
He failed the entrance exam.	佢炒咗個入學試。
He is a bit like his father.	佢有啲似佢老豆。
He went up the steps slowly.	佢一步一步噉上咗樓梯。
He's always been kind to me.	佢一路都對我好好。
Her beauty is indescribable.	佢靚到唔知點形容好。
How did you get to know him?	你點識佢㗎？
How old do you think she is?	你話佢幾多歲吖嗱？
I believe you like your job.	我諗你一定好鍾意你份工喇！
I don't feel like going out.	我冇乜心情出街。
I fell asleep while reading.	我睇書睇到一半就瞓著咗。
I prefer swimming to skiing.	我鍾意游水多過滑雪。
I want to go to see a movie.	我想睇戲。
I will never be your friend.	我永遠都唔會係你朋友。
I wonder where he is hiding.	佢究竟匿埋咗喺邊呢？
I wrote a letter last night.	我尋晚寫咗一封信。
I'll be seventeen next year.	我下年就十七歲喇。
I'm sorry, my father is out.	唔好意思，我阿爸唔喺屋企。
I've worn holes in my socks.	我著到對襪穿咗窿。
It's boring to stay at home.	留喺屋企好無聊。
Leave me a bit of ice cream.	留啲雪糕俾我。
Lenin ordered them to rebel.	列寧命令佢哋反抗。
Let me spell it out for you.	等我串俾你聽啦。
May I bring my family along?	我可唔可以同屋企人一齊嚟㗎？
My daughter likes egg yolks.	我個女好鍾意食蛋黃。
My father came home at nine.	我老豆九點返咗屋企。
Oil does not mix with water.	油同水溝唔埋。
Several delegates disagreed.	幾位代表唔同意。
She borrows novels from Tom.	佢同Tom借啲小說。
She saved a hundred dollars.	佢儲咗一百蚊。
The dog didn't eat the meat.	隻狗冇食到啲肉。
The family lived in poverty.	嗰家人活喺貧窮之中。
There are too many tourists.	太多遊客喇。
There is a hole in his sock.	佢隻襪有個窿。
There's a hole in this sock.	呢隻襪穿咗個窿。
They were very tired indeed.	佢哋真係好攰。
This is too good to be true.	邊有咁大隻蛤乸隨街跳呀？
To the Hilton Hotel, please.	去希爾頓酒店吖唔該。
Tom got Mary to cook dinner.	Tom搵咗Mary煮晚飯。
Tom jogs three times a week.	湯姆一個禮拜跑三次步。
Tom took off his sunglasses.	阿Tom除咗副太陽眼鏡。
Tom took off his sunglasses.	阿Tom除咗副黑超。
Tom took off his sunglasses.	阿Tom除咗副超。
Twenty years already passed.	已經過咗廿年喇。
We all want Tom to be happy.	我哋全部都想Tom開心㗎。
We drink our tea with sugar.	我哋飲茶會落糖。
We dug a hole in the ground.	我哋喺地下掘咗個窿。
We know everything you know.	你知嘅嘢我哋都知。
We were very busy last week.	我哋上個禮拜好忙。
What are you thinking about?	你喺度諗緊啲咩呀？
What do you do after dinner?	你食完晚飯通常做乜嘢？
What will you have to drink?	你想飲啲咩呀？
Which house did you live in?	你以前住邊間屋㗎？
Who is the person in charge?	負責人係邊個？
Why don't you just fire Tom?	點解你唔直接炒咗 Tom 啫？
You can always quit the job.	大不了咪辭咗份工佢囉。
You don't fool me, you know.	你唔好蝦我呀，知唔知。
You don't fool me, you know.	你唔好呃我呀，知唔知。
You have only to ask for it.	你出聲就得㗎喇。
You may be right about that.	話唔定你啱嘅。
You said you had a contract.	你話過你有合約。
Are you proud of your father?	你老竇係咪令你好光榮？
Are you proud of your father?	你係咪為你阿爸感到自豪？
Can I pay with a credit card?	可唔可以用信用卡找數？
Do you know what he has done?	你知唔知佢做咗乜嘢呀？
Don't tell Father about this.	唔好講呢件事俾阿爸聽。
Everybody is waiting for you.	成村人喺度等緊你呀。
He came home late last night.	佢尋晚遲咗返屋企。
He did better than last time.	佢做得好過上一次。
He is a doctor and an author.	佢係個醫生，又係個作家。
He is good at riding a horse.	佢騎馬好叻。
He seemed to have thought so.	佢好似係咁諗。
He spent the evening reading.	佢成晚喺度睇書。
Her mother has gone shopping.	佢阿媽去咗買嘢。
How did you come to know her?	你點識佢㗎？
How do you know where I live?	你點知我喺邊到住㗎？
How much do the carrots cost?	啲甘筍點賣呀？
How much is the entrance fee?	入場費幾多錢呀？
I bought two bottles of milk.	我買咗兩枝牛奶。
I don't have time to be sick.	得閒死唔得閒病。
I don't know where she lives.	我唔知佢喺邊度住。
I don't like your girlfriend.	我唔鍾意你女朋友。
I don't like your girlfriend.	我唔鍾意你條女。
I don't understand this word.	我唔識呢個字。
I followed her into the room.	我跟佢走咗入間房度。
I have to go to the bank now.	我要去銀行嚹。
I just bought some cardboard.	我啱啱買咗啲紙板。
I kept the seat warm for you.	我幫你坐暖咗張凳。
I left something in the room.	我漏低咗啲嘢喺間房度。
I met your parents yesterday.	我尋日見咗你父母。
I met your parents yesterday.	我尋日見咗你爸爸媽媽。
I thought Tom was a musician.	我以為阿Tom玩音樂嘅添。
I was just going to call you.	我啱啱諗住打俾你。
I went there dozens of times.	嗰個地方我去過幾廿次喇。
I will be free next Saturday.	我下個禮拜六得閒。
I've already eaten breakfast.	我已經食咗早餐喇。
I've been to Hokkaido before.	我去過北海道。
I've done what I can for you.	我可以為你做嘅都做咗喇。
I've fallen in love with you.	我愛上咗你。
It is dangerous to swim here.	呢度游水好危險㗎。
It's no use arguing with him.	同佢拗嚟都嘥氣。
May I have your phone number?	我想問吓你個電話號碼幾多號呀？
Mine is not so good as yours.	我嗰個冇你嗰個咁好。
Now they have three children.	佢哋而家有三個細路。
Our garden was full of weeds.	我哋個花園生滿晒雜草。
Our team lost the first game.	我哋組輸咗第一回合。
Please give us some examples.	可唔可以舉幾個例子呀？
Please wake me for breakfast.	唔該你叫我起身食早餐吖。
She can make her own dresses.	佢識自己整裙。
She got married in her teens.	佢十幾歲就結咗婚。
She has a bath every morning.	佢日日朝頭早都會去沖涼。
She is leading by two meters.	佢而家領先緊兩米。
She is sensitive to the heat.	佢好怕熱。
That book had a lot of pages.	嗰本書有好多版。
That shop has many customers.	嗰間舖頭有好多人幫襯。
The meeting went pretty well.	個會開得幾順利。
The war with France was over.	同法國嘅戰爭已經結束。
There is a house on the hill.	座山上面有一間屋。
There's no chair to sit upon.	冇凳坐。
This morning, I saw an angel.	我今朝見到個天使。
Tom gave me a ride to school.	Tom車咗我返學。
Tom is as tall as his father.	阿Tom同佢老豆一樣咁高。
Tom is more famous than Mary.	阿Tom有名過Mary。
Tom owns a yellow sports car.	Tom有架黃色跑車。
Turn down the volume, please.	唔該你較細聲啲吖。
We don't have another choice.	我哋冇其他選擇。
We have lots of things to do.	我哋有好多嘢要做。
We weren't at home yesterday.	我哋尋日唔喺屋企。
We'll see who finishes first.	咪睇吓邊個衝線先囉。
What does your car look like?	你架車係點樣㗎？
Why are you doing this to me?	點解你要噉對我？
Why did you say such a thing?	你做咩講埋啲噉嘅嘢呀？
Why does Tom need to do that?	點解阿Tom要咁做？
Will it take long to recover?	會唔會好耐先好得返㗎？
Will you have dinner with me?	夜晚一唔一齊食飯呀？
You two have a lot in common.	你哋兩個有好多共通點。
A bird is singing in the tree.	有隻雀仔喺樹上面唱歌。
Are you guys talking about me?	你哋係咪講緊我呀？
Could you turn down the radio?	可唔可以將部收音機較細聲少少呀？
Cut the meat into thin slices.	將啲肉切到一片片好薄噉。
Did you call him up yesterday?	你尋日有無打電話俾佢？
Did you have a nice Christmas?	你聖誕節過得開唔開心呀？
Do you have a Twitter account?	你有冇Twitter帳戶呀？
Do you live with your parents?	你係咪同你阿爸阿媽一齊住㗎？
Do you study French at school?	你有冇喺學校到讀法文？
Do you think Tom is all right?	你覺唔覺得Tom冇嘢？
Driving too fast is dangerous.	超速駕駛好危險㗎。
Eleven o'clock is good for me.	十一點我OK。
Eleven o'clock is good for me.	十一點我得呀。
Have you finished packing yet?	你執好晒啲嘢未呀？
He has just bought a used car.	佢啱啱買咗架二手車。
He likes coffee without sugar.	佢飲咖啡唔鍾意落糖。
He lives in this neighborhood.	佢住喺呢度附近。
He thinks he knows everything.	佢以為自己咩都識。
He threw a rock into the pond.	佢抌咗塊石頭落個池度。
I bought a pen, but I lost it.	我買咗枝筆，但係唔見咗。
I bought this T-shirt on sale.	我買咗呢件減緊價嘅 T 恤。
I can eat anything but onions.	我除咗洋葱之外咩都食。
I don't think that he'll come.	佢應該唔會嚟㗎喇。
I found this book interesting.	我覺得呢本書好有趣。
I hope you'll get better soon.	希望你快啲好返啦。
I planted roses in the garden.	我喺個花園度種咗啲玫瑰花。
I promise you I'll come early.	我保證我好快就會嚟到。
I really like this restaurant.	我真係好鍾意呢間餐廳。
I smell smoke in the elevator.	我喺部𨋢度聞到啲煙味。
I want to see the movie again.	我想再睇多次套戲。
I want to sleep a little more.	我想瞓多陣。
I want you to meet my parents.	我想你見吓我阿爸阿媽。
I will deal with this problem.	我會處理呢個問題。
I wish I had a room of my own.	如果我有自己一間房就好喇。
I wish I were as smart as you.	如果我有你咁醒目就好
I wrote a letter to my mother.	我寫咗封信俾我阿媽。
I'll be sure to tell Tom that.	我一定會同Tom講㗎喇。
I'll certainly go and see him.	我一定會去探佢嘅。
I'm not too worried about Tom.	我唔係太擔心阿Tom。
I'm sorry, I'm busy right now.	唔好意思，我而家好忙呀。
I'm used to working all night.	我慣咗通頂做嘢。
I'm used to working all night.	我慣咗通宵做嘢。
I've asked Tom not to do that.	我叫咗阿Tom唔好咁做。
I've got no time for that now.	我依家冇時間理嗰樣嘢。
Look at me when I talk to you!	我同你講嘢嗰陣望住我！
Most of his friends are girls.	佢班friend大多數都係女仔。
My father has gone to America.	我阿爸去咗美國。
My son is now as tall as I am.	我個仔而家同我一樣咁高喇。
She plays tennis every Sunday.	佢逢禮拜日都會去打網球。
Someone locked me in the room.	有人鎖咗我喺間房度。
That bridge is very beautiful.	嗰座橋好靚。
That's what we're looking for.	呢樣就係我哋搵緊嘅嘢。
The car crashed into the wall.	架車撞咗埋埲牆度。
The girl resembles her mother.	個女仔同佢阿媽好似樣。
The noise set the dog barking.	啲噪音搞到隻狗喺度吠。
There is a fly on the ceiling.	個天花板上面有隻烏蠅。
This is the best time of year.	全年最正就係呢個時候。
This river is one mile across.	呢條河有一咪闊。
Tom always keeps his promises.	Tom 好守信用。
Tom always keeps his promises.	Tom 好有口齒。
Tom is probably still at home.	斷估阿Tom應該仲喺屋企。
Tom went back to his hometown.	阿 Tom 返咗鄉下。
We took turns driving the car.	我哋輪流揸車。
Why didn't you dance with him?	你做咩唔同佢跳舞嘅？
Will you let me try once more?	你可唔可以俾我試多一次呀？
You cannot smoke in this room.	呢間房唔俾食煙。
You don't understand anything.	你乜都唔明。
You will soon be able to swim.	你好快就會學識游水㗎喇。
You will soon get to like him.	你好快就會開始鍾意佢㗎喇。
You'd better go there on foot.	你最好行路去。
You'd better take an umbrella.	你最好帶埋把遮去。
Your birthday is drawing near.	你生日就到啦噃。
Your handwriting is very good.	你手字好靚。
Your purse is similar to mine.	你個銀包同我嗰個好似樣。
"What time is it?" "It's 3:20."	「而家幾點呀？」「三點四。」
"What's the time?" "It's 2:30."	「而家幾多點呀？」「兩點半。」
Are you going to learn English?	你係咪諗住學英文呀？
Could you turn the volume down?	你可唔可以較細聲啲呀？
Did he come by bus or by train?	佢係搭巴士嚟定係搭火車嚟㗎？
Do they speak French in Canada?	加拿大係咪講法文㗎？
Don't step on the broken glass.	唔好踩落啲碎玻璃度。
Fighting won't settle anything.	打交解決唔到問題。
He asked me whether I was busy.	佢問我係咪好忙。
He asked me why I was laughing.	佢問我做咩喺度笑。
He has lived here for one week.	佢已經喺度住咗一個禮拜喇。
He has no friends to talk with.	佢冇朋友啱傾。
He is hiding something from me.	佢有啲嘢瞞住我。
He seldom writes to his father.	佢好少寫信俾佢老豆。
He's obsessed with cleanliness.	佢有潔癖。
He's popular with the students.	佢好受學生歡迎。
He's the laziest person I know.	佢係我識嘅人入面最懶嘅一個。
He's the laziest person I know.	我識嘅人入面係佢最懶嘞。
His car has just been repaired.	佢架車啱啱整返好喇。
His writing is very subjective.	佢寫文章寫得好主觀。
I am busy now and can't go out.	我而家好忙，唔出得街。
I cannot lend this book to you.	我唔可以借呢本書俾你。
I didn't know what to do, then.	我嗰陣時唔知點做先好。
I don't put sugar in my coffee.	我飲咖啡唔落糖。
I forget your telephone number.	我唔記得咗你個電話號碼。
I forgot to lock the storeroom.	我唔記得咗鎖士多房道門。
I found a dollar in the street.	我喺街度執到一蚊。
I have not eaten breakfast yet.	我仲未食早餐。
I held my breath in excitement.	我興奮到講唔到嘢。
I know what you did last night.	我知你尋晚做過咩嚟。
I put my suitcase in the trunk.	我將啲行李擺咗喺個車尾箱入面。
I really want to know her name.	我好想知道佢個名。
I take my camera wherever I go.	我去到邊都帶住部相機。
I think it's still worth a try.	我覺得都可以搏下嘅。
I walk in the forest every day.	我日日都去森林度散步。
I want something cold to drink.	我想飲啲凍嘢。
I want to know why you're here.	我想知點解你會喺到。
I'd like a window seat, please.	要窗口位吖唔該。
I'll take that as a compliment.	我當你讚我㗎喇。
I'm waiting for you to help me.	我等緊你幫我。
I'm working for a trading firm.	我喺一間貿易公司度打工。
I've worked here for ten years.	我已經喺呢度做咗十年喇。
If that happens again, call me.	如果再有啲咁嘅事發生就打俾我啦。
If that happens again, call me.	如果再係咁就打俾我啦。
If you bite me, I'll bite back.	你咬我，我就咬返你。
Japanese eat three meals a day.	日本人每日食三餐。
Like it or not, you must do it.	鐘唔鐘意你都要做。
Modern art doesn't interest me.	我對現代藝術冇乜興趣。
My brother likes horror movies.	我阿哥好鍾意睇恐怖片。
My mother has good handwriting.	我阿媽手字好靚。
My plane leaves at six o'clock.	我坐嗰架飛機六點開。
My shoes are bigger than yours.	我對鞋大過你嗰對。
Pay the cashier on the way out.	去出口個收銀處俾錢啦。
She held on to my hand tightly.	佢捉實我隻手。
She is a woman of great beauty.	佢係一個好靚嘅女人。
She is certain to be surprised.	佢一定會好驚喜。
She was arrested by the police.	佢俾警察拉咗。
Tell me about it. I'm all ears.	話俾我聽啦，我好想知呀。
The baby is sucking his finger.	個BB喺到吮手指。
The boy I love doesn't love me.	我鍾意嗰個男仔唔鍾意我。
The desk was covered with dust.	張枱舖滿咗塵。
The waiter brought a new plate.	個侍應拎咗個新碟俾我哋。
This box is filled with apples.	呢個箱裏面裝滿晒蘋果。
This bus can hold fifty people.	呢架巴士載到五十個人。
This is a very complex problem.	呢個係一個非常複雜嘅問題。
This machine is easy to handle.	呢部機好易用。
This telephone is out of order.	呢部電話壞咗。
Tom and Mary grew up in Boston.	阿Tom同阿Mary係喺波士頓大嘅。
Tom bought a camera like yours.	Tom買咗部相機好似你嗰部。
Tom bought a camera like yours.	Tom買咗部好似你嗰部嘅相機。
Tom pretended to be interested.	阿Tom扮晒有興趣咁。
Tom won $10,000 in the lottery.	湯姆買六合彩贏咗一皮嘢。
We live in a civilized society.	我哋生活喺文明社會。
What do you need the money for?	你要筆錢嚟做咩呀？
What prevented him from coming?	佢做咩無嚟到嘅？
What was the weather yesterday?	尋日啲天氣點呀？
What, may I ask, are you doing?	我可唔可以問你做緊咩？
When are we eating? I'm hungry!	幾時食飯呀？好鬼肚餓呀！
When does the restaurant close?	間餐廳幾點閂㗎？
Why do bees die after stinging?	蜜蜂針完人點解會死嘅？
Why were you late this morning?	你今朝做咩遲到嘅？
Will you cook something for me?	你可唔可以煮啲嘢俾我食呀？
Would you mind me smoking here?	你介唔介意我喺度食煙呀？
You don't have to talk so loud.	你講嘢唔使講到咁大聲。
You may come whenever you like.	你鍾意幾時嚟就幾時嚟啦。
You may not smoke in this room.	呢間房唔俾食煙㗎。
You need to pay more attention.	你要專心啲。
You should eat more vegetables.	你應該食多啲菜。
You should have come yesterday.	你尋日應該嚟吖嘛。
Your name is first on the list.	你個名喺張表度第一個。
Your watch is ten minutes slow.	你隻錶慢咗十分鐘。
Can I have a few words with you?	可唔可以同你傾幾句呀？
Can you help me wash the dishes?	可唔可以幫我洗碗？
China is much larger than Japan.	中國大過日本好多。
Does anyone here speak Japanese?	呢度有冇人識講日文㗎？
Does this dress look good on me?	呢條裙襯唔襯我呀？
Don't let her go out after dark.	個天黑咗之後就唔好俾佢出街喇。
He came home at almost midnight.	佢差唔多半夜嗰陣返到屋企。
He can speak English and French.	佢識講英文同法文。
He doesn't want to wait for you.	佢唔想等你。
He gave his seat to the old man.	佢讓咗個位俾個老人家。
He gave his seat to the old man.	佢讓咗個位俾個阿伯。
He is taller than any other boy.	佢高過晒第二啲男仔。
He likes to sing in the bathtub.	佢好鍾意一路沖涼一路唱歌。
He looks just like a guy I know.	佢個樣好熟口熟面。
He seldom writes to his parents.	佢好少寫信俾佢阿爸阿媽。
He's gone to Nagoya on business.	佢去咗名古屋公幹。
I am afraid I must be going now.	唔好意思，我要走喇。
I can't hear what you're saying.	我聽唔到你喺到講咩。
I did not understand him at all.	我完全聽唔明佢講啲嘢。
I don't have a computer at home.	我屋企冇電腦。
I got terrible grades this term.	我今個學期啲成績好差。
I have an urge to buy something.	我有種衝動想買嘢。
I left your umbrella on the bus.	我漏咗你把遮喺架巴士度。
I ordered the book from Britain.	本書係喺英國訂返返嚟㗎。
I remember meeting him in Paris.	我記得喺巴黎見過佢。
I said that to please my mother.	我噉樣講係想氹我阿媽開心㗎咋。
I saw him swim across the river.	我睇到佢游過河。
I shouldn't have left you alone.	我唔應該漏低你一個。
I took your umbrella by mistake.	我唔小心拎錯咗你把遮。
I want to improve my penmanship.	我想寫字寫靚啲。
I want to speak to your manager.	我想見你哋經理。
I'm looking for my contact lens.	我喺度搵緊我副隱形眼鏡。
I've got enough money for a car.	我夠錢買車。
It is exactly three o'clock now.	而家係三點正。
It is getting cooler and cooler.	呢排啲天氣愈嚟愈涼爽喇。
It's hard to speak English well.	英文好難講得好。
John is two years older than me.	阿John大我兩歲。
Let me help you with the dishes.	我幫你洗碗啦。
My mother is reading a magazine.	我阿媽喺度睇緊雜誌。
My watch gains one minute a day.	我隻錶每日快一分鐘。
No one cares about that anymore.	冇人會理㗎喇。
Oranges are sweeter than lemons.	橙甜過檸檬。
Please give me a sheet of paper.	唔該俾張紙我吖。
Please give me some more coffee.	可唔可以再俾啲咖啡我呀？
Please shut the door behind you.	唔該你閂咗你後面嗰道門佢吖。
See you tomorrow in the library.	聽日圖書館見啦。
She broke the window on purpose.	佢特登打爛咗個窗。
She could not cope with anxiety.	佢處理唔到緊張嘅情緒。
She refused to accept the money.	佢唔肯收筆錢。
Sorry, the book is out of stock.	唔好意思呀，呢本書賣晒㗎喇。
The doctor is not available now.	醫生而家唔得閒。
The kite got caught in the tree.	隻紙鷂𠽤咗喺棵樹度。
The lady moved here a month ago.	嗰位小姐喺一個月之前搬咗嚟呢度。
The moon moves around the earth.	月亮圍住地球轉。
The teacher told me to stand up.	老師叫我企起身。
The weather is just right today.	今日啲天氣啱啱好。
These fireworks are spectacular!	呢啲煙花真係好靚呀！
They are pushing me for payment.	佢哋係咁追我俾錢。
They arrived half an hour early.	佢哋早咗半個鐘到。
They moved here three years ago.	佢哋喺三年前搬咗嚟呢度住。
Tom enjoys playing tricks on me.	阿Tom好鍾意整蠱我。
Tom is always trying to be cool.	Tom成日懶係型咁。
Tom is always trying to be cool.	Tom成日嘗試令自己型啲。
We have way too much work to do.	我哋有太多嘢做喇。
We killed time by playing cards.	我哋打啤牌消磨時間。
We've only got one shot at this.	我哋淨係得一次機會。
What are you learning at school?	你喺學校學緊啲咩呀？
What is the price of this radio?	呢部收音機幾多錢呀？
What time do you usually get up?	你通常幾點起身㗎？
Who's your favorite philosopher?	你最鍾意嘅哲學家係邊個？
Who's your favorite philosopher?	你最鍾意邊個哲學家？
Why did you paint the bench red?	你做咩油咗張長凳做紅色嘅？
Why is it that she looks so sad?	佢做咩好似好唔開心咁嘅？
Yesterday a truck hit this wall.	尋日有架貨車撞咗埋呢埲牆度。
Your English has improved a lot.	你啲英文進步咗好多。
Your shirt button is coming off.	你件恤衫粒鈕就嚟甩喇。
Be careful not to tamper with it.	小心唔好立亂搞佢。
By the way, are you free tonight?	話時話，你今晚得唔得閒呀？
By the way, what is your address?	吖，係啦，可唔可以俾你個地址我呀？
Call me when you are ready to go.	你準備好出發就打電話俾我啦。
Comb your hair before you go out.	梳好你啲頭髮先好出門口呀。
Does Tom have to stay home today?	阿 Tom 今日使唔使留喺屋企呀？
Don't speak with your mouth full!	唔好一路食嘢一路講嘢！
Don't you feel the house shaking?	你唔覺得間屋喺度震緊咩？
Each country has its own customs.	唔同國家有唔同習俗。
Father doesn't allow me to drive.	我老豆唔俾我揸車。
From now on, let's keep in touch.	我哋以後要保持聯絡呀。
Have you called an ambulance yet?	你call咗白車未？
Have you called an ambulance yet?	你叫咗救傷車未？
He has a lot of books on history.	佢有好多講歷史嘅書。
He's three years older than I am.	佢大我三年。
His picture was in the newspaper.	佢幅相上咗報紙。
How come you didn't say anything?	你做咩粒聲唔出嘅？
How many are there in your class?	你嗰班有幾多人㗎？
I am a member of the tennis club.	我係網球俱樂部嘅會員。
I don't have anything else to do.	我冇第啲嘢做喇。
I don't think Tom will hurt Mary.	我唔覺得Tom會傷害Mary。
I had a bite at around 3 o'clock.	我三點到係噉意食咗啲嘢。
I heard you were getting married.	聽講你就嚟結婚喎。
I held up my hand to stop a taxi.	我舉高咗隻手嚟截的士。
I hope we don't get into trouble.	希望我哋唔會遇到啲咩麻煩嘢啦。
I know a good Italian restaurant.	我識一間好食嘅意大利餐廳。
I made up my mind to be a doctor.	我決定咗要做醫生。
I plan to go to France next year.	我諗住下年去法國。
I remember meeting you somewhere.	我好似喺邊到見過你。
I screwed up the very first note.	我一開波就已經吹錯咗音。
I want to learn standard English.	我想學標準英文。
I was told the news by Hashimoto.	個消息係橋本話俾我聽嘅。
I wish you were here with me now.	如果你依家喺度同我一齊就好喇。
I wish you were here with me now.	我好想你依家喺度陪我。
I would like to buy some aspirin.	我想買啲阿士匹靈。
I wrote three letters last night.	我尋晚寫咗三封信。
I'd like to have a glass of wine.	唔該俾杯酒我吖。
I'd like to live near your house.	我想住近啲你間屋。
I'm afraid it will rain tomorrow.	我驚聽日會落雨。
I'm looking for a small suitcase.	我搵緊個細喼。
I'm tired of watching television.	我睇電視睇到厭喇。
I'm too tired to walk any longer.	我攰到行唔郁喇。
It's the shortest route to Paris.	呢條係去巴黎最短嘅路線。
Let me tell you what I did today.	等我話俾你聽我今日做過啲咩嚟啦。
Let's take it one step at a time.	我哋一步一步噉嚟啦。
Look at the blackboard, everyone.	大家唔該望吓黑板。
Mary wants kids, but Tom doesn't.	Mary想生BB，但係阿Tom唔想。
May I have a look at your ticket?	我可唔可以睇一睇你張飛呀？
May I have another piece of cake?	我可唔可以食多嚿蛋糕呀？
My father would often go fishing.	我阿爸以前成日去釣魚。
No one comes to visit me anymore.	冇人會再嚟探我喇。
Please make yourself comfortable.	隨便坐啦，當自己屋企得喇。
She gave me a nice pair of shoes.	佢送咗對好靚嘅鞋俾我。
She has left her umbrella behind.	佢漏低咗佢把遮。
She introduced me to her brother.	佢介紹咗我俾佢細佬識。
She took a walk before breakfast.	佢食早餐之前去咗散步。
She's promised to give me a ring.	佢應承咗話會打電話俾我。
She's promised to give me a ring.	佢應承咗話會送隻戒指俾我。
That word describes it perfectly.	呢個字形容得好啱。
The red dress looked good on her.	條紅色裙好襯佢。
The room was devoid of furniture.	間房冇傢俬。
The sisters look like each other.	個家姐同個細妹好似樣。
The situation there was critical.	嗰度情況好危急。
The two answers are both correct.	兩個答案都啱。
There is an apple under the desk.	張枱下面有粒蘋果。
There is no school during August.	八月唔使返學。
These trees were planted by them.	呢啲樹係佢哋種嘅。
They are both colleagues of mine.	佢哋兩個都係我啲同事。
They fell asleep after the movie.	佢哋睇完套戲之後就瞓著咗。
