Go.	Gå!
We tried our best.	Vi har gjort vores bedste.
We tried our best.	Vi har gjort vort bedste.
We're not friends.	Vi er ikke venner.
We're not invited.	Vi er ikke inviteret.
We're out of milk.	Vi har ikke mere mælk.
We're the problem.	Vi er problemet.
What animal is it?	Hvad er det for et dyr?
What did you find?	Hvad fandt du?
What do you weigh?	Hvad vejer du?
What does it mean?	Hvad betyder det?
What is happening?	Hvad sker der?
What is happiness?	Hvad er lykke?
What is happiness?	Hvad er lykken?
What is your name?	Hvad er dit navn?
What is your name?	Hvad hedder du?
What is your name?	Hvad hedder De?
What was he up to?	Hvad havde han for?
What was he up to?	Hvad havde han gang i?
What was he up to?	Hvad var han ude på?
What would you do?	Hvad ville du gøre?
What're you doing?	Hvad laver du?
What's the matter?	Hvad er der i vejen?
When do we arrive?	Hvornår ankommer vi?
When was she born?	Hvornår blev hun født?
Where are you now?	Hvor er du nu?
Where do you live?	Hvor bor du?
Where is my clock?	Hvor er mit ur?
Where is my diary?	Hvor er min dagbog?
Where is my watch?	Hvor er mit ur?
Where is the pain?	Hvor gør det ondt?
Where's your coat?	Hvor er din frakke?
Where've you been?	Hvor har du været?
Who is that woman?	Hvem er den kvinde der?
Who needs a drink?	Hvem har brug for en drink?
Who ordered pizza?	Hvem bestilte pizza?
Whose fault is it?	Hvis skyld er det?
Why are you alone?	Hvorfor er du alene?
Why are you lying?	Hvorfor lyver du?
Why is that wrong?	Hvorfor er det forkert?
Will you marry me?	Vil du gifte dig med mig?
Would you shut up?	Vil du holde kæft?
Wow! That's cheap!	Oj! Det er billigt!
Yes, I kissed him.	Ja, jeg kyssede ham.
You almost hit me.	Du var lige ved at ramme mig.
You almost hit me.	Du ramte mig næsten.
You are my friend.	Du er min ven.
You bet I'm angry.	Du kan tro, at jeg er vred.
You came too late.	Du kom for sent.
You can park here.	Du kan parkere her.
You can park here.	I kan parkere her.
You can't help me.	Du kan ikke hjælpe mig.
You did your best.	Du gjorde dit bedste.
You did your best.	Du gjorde det så godt du kunne.
You got here fast.	Du kom her hurtigt.
You have no fever.	Du har ikke feber.
You have no heart.	Du har intet hjerte.
You may park here.	Du kan parkere her.
You owe me $1,000.	Du skylder mig 1000 dollar.
You owe me $1,000.	Du skylder mig 1000 dollars.
You owe me $1,000.	I skylder mig 1000 dollar.
You owe me a beer.	Du skylder mig en øl.
You should resign.	Du bør træde tilbage.
You talk too much.	Du taler for meget.
You two stay here.	Bliv her I to.
You were speeding.	Du kørte for hurtigt.
You work too much.	Du arbejder for meget.
You'd better come.	Du må hellere komme.
You're a bookworm.	Du er en bogorm.
You're a good man.	Du er en god mand.
You're a murderer.	Du er en morder.
You're both right.	I har begge ret.
You're both right.	I har begge to ret.
You're disgusting!	Du er afskyelig!
You're disgusting!	Du er ækel!
You're here early.	Du kommer tidligt.
You're in the way.	Du er i vejen.
You're incredible.	Du er utrolig!
You're just a boy.	Du er kun en dreng.
You're so gallant.	Du er så galant.
You're successful.	Du er en succes.
You're successful.	I er succesrige.
You're such a pig.	Du er sådan et svin!
You're too polite.	I er for høflige.
You're too polite.	Du er for høflig.
You're too skinny.	Du er for tynd.
Your house is big.	Dit hus er stort.
Your house is big.	Jeres hus er stort.
A cat scratched me.	En kat kradsede mig.
A guard is outside.	En vagt er udenfor.
A guard is outside.	Der er en vagt udenfor.
A lot has happened.	Der er sket meget.
All apples are red.	Alle æbler er røde.
All sugar is sweet.	Alt sukker er sødt.
Are these for sale?	Er de her til salg?
Are you bored here?	Keder du dig her?
Are you dating Tom?	Dater du Tom?
Are your eyes open?	Er dine øjne åbne?
Bananas are yellow.	Bananer er gule.
Breakfast is ready.	Morgenmaden er klar.
But do you like it?	Men kan du lide det?
Call off your dogs.	Kald hundene til dig!
Can I count on you?	Kan jeg regne med dig?
Can I have seconds?	Kan jeg få en portion til?
Can you protect me?	Kan du beskytte mig?
Come along with me.	Følg med mig.
Did you sleep well?	Sov du godt?
Did you write that?	Har du skrevet det?
Did you write that?	Skrev du det?
Divide and conquer.	Del og hersk.
Do they suspect me?	Mistænker de mig?
Do you have a book?	Har du en bog?
Do you have a coin?	Har du en mønt?
Do you have a plan?	Har du en plan?
Do you have a plan?	Har I en plan?
Do you know French?	Kan du fransk?
Do you like French?	Kan du lide fransk?
Do you like apples?	Kan du lide æbler?
Do you like apples?	Kan I lide æbler?
Do you like horses?	Kan du lide heste?
Do you like movies?	Kan du lide film?
Do you remember me?	Husker du mig?
Do you speak Latin?	Taler du latin?
Do you want a soda?	Vil du have en sodavand?
Do you want to eat?	Ønsker du at spise?
Do you want to eat?	Ønsker I at spise?
Do you want to eat?	Ønsker De at spise?
Do you want to try?	Vil du prøve?
Does he have a dog?	Har han en hund?
Does your dog bite?	Bider din hund?
Does your dog bite?	Bider hunden?
Does your dog bite?	Bider jeres hund?
Don't let go of me.	Slip mig ikke.
Don't miss the bus.	Kom ikke for sent til bussen.
Don't send me away.	Send mig ikke væk.
Don't take chances.	Tag ikke chancer.
Everyone was happy.	Alle var lykkelige.
Everything is fine.	Alt er fint.
Everything is fine.	Alt er godt.
Fill in the blanks.	Udfyld de tomme felter.
Find somebody else.	Find en anden.
Follow his example.	Følg hans eksempel.
Forget what I said.	Glem hvad jeg sagde.
Forget what I said.	Glem hvad jeg har sagt.
Get out of my life!	Forsvind ud af mit liv!
Ghosts don't exist.	Spøgelser eksisterer ikke.
Go and wake Tom up.	Gå hen og væk Tom!
Go and wake Tom up.	Gå ind og væk Tom!
Go get your helmet.	Hent din hjelm.
Has Tom been there?	Har Tom været der?
Have fun, you guys.	Mor jer!
Have fun, you guys.	Mor jer, folkens!
Have you been away?	Har du været væk?
He asked my mother.	Han spurgte min mor.
He can barely read.	Han kan næsten ikke læse.
He can barely read.	Han kan knap nok læse.
He did a cartwheel.	Han slog en vejrmølle.
He doesn't love me.	Han elsker mig ikke.
He enjoyed cycling.	Han kunne lide at cykle.
He enjoyed cycling.	Han holdt af at cykle.
He failed the exam.	Han bestod ikke eksamen.
He gave her a book.	Han gav hende en bog.
He has a big truck.	Han har en stor lastbil.
He has a long nose.	Han har en lang næse.
He has a white cat.	Han har en hvid kat.
He is a bad driver.	Han er en dårlig bilist.
He is a bus driver.	Han er buschauffør.
He is a clever boy.	Han er en klog dreng.
He is a good loser.	Han er en god taber.
He is an FBI agent.	Han er FBI-agent.
He is not a doctor.	Han er ikke læge.
He kicked the ball.	Han sparkede til bolden.
He lay on his back.	Han lå på ryggen.
He lost his temper.	Han kom op i det røde felt.
He lost his temper.	Han røg op i det røde felt.
He lost his temper.	Hans temperament løb af med ham.
He loves traveling.	Han elsker at rejse.
He still loves her.	Han elsker hende stadig.
He took a week off.	Han tog en uge fri.
He waited his turn.	Han ventede på sin tur.
He was not invited.	Han var ikke inviteret.
He was not invited.	Man inviterede ham ikke.
He works all night.	Han arbejder hele natten.
He works very hard.	Han arbejder meget hårdt.
He'll be here soon.	Han vil snart være her.
He's a bodybuilder.	Han er bodybuilder.
He's a bodybuilder.	Han er en bodybuilder.
He's a creationist.	Han er en kreationist.
He's a creationist.	Han er kreationist.
He's a filthy liar.	Han er en beskidt løgner.
He's a great coach.	Han er en stor træner.
He's a patient man.	Han er en tålmodig mand.
He's buying apples.	Han køber æbler.
He's short and fat.	Han er kort og fed.
He's still at work.	Han er stadig på arbejde.
He's tall and slim.	Han er høj og tynd.
He's the scapegoat.	Han er syndebukken.
Here comes the bus.	Der kommer bussen.
Here is my bicycle.	Her er min cykel.
Here's the address.	Her er adressen.
Here's your change.	Her er dine byttepenge.
Hi, my name is Tom.	Hej, mit navn er Tom!
His name isn't Tom.	Hans navn er ikke Tom.
His wife is French.	Hans kone er fransk.
How can you fix it?	Hvordan kan du lave det?
How can you fix it?	Hvordan kan du lave den?
How hungry are you?	Hvor sulten er du?
I am from Portugal.	Jeg er fra Portugal.
I bought a Picasso.	Jeg købte en Picasso.
I bought a T-shirt.	Jeg har købt en T-shirt.
I bought a T-shirt.	Jeg købte en T-shirt.
I bought a red car.	Jeg har købt en rød bil.
I bought a red car.	Jeg købte en rød bil.
I burned the paper.	Jeg brændte papiret.
I changed the flag.	Jeg ændrede flaget.
I didn't get fired.	Jeg blev ikke fyret.
I don't blame them.	Jeg bebrejder dem ikke.
I don't have a car.	Jeg har ikke en bil.
I don't have a car.	Jeg har ingen bil.
I don't have a cat.	Jeg har ikke en kat.
I don't have a dog.	Jeg har ingen hund.
I don't have a dog.	Jeg har ikke en hund.
I don't like beets.	Jeg kan ikke lide rødbeder.
I don't understand.	Jeg forstår ikke.
I drank the coffee.	Jeg drak kaffen.
I dreamt about you.	Jeg drømte om dig.
I dreamt about you.	Jeg har drømt om dig.
I dropped my apple.	Jeg tabte min æble.
I found your diary.	Jeg fandt din dagbog.
I found your diary.	Jeg har fundet din dagbog.
I gave Mary a book.	Jeg gav Mary en bog.
I gave Mary a book.	Jeg gav en bog til Mary.
I had a good coach.	Jeg havde en god træner.
I have a job to do.	Jeg har arbejde der skal gøres.
I have a toothache.	Jeg har tandpine.
I have lost my key.	Jeg har mistet min nøgle.
I have lost my key.	Jeg har tabt min nøgle.
I have no appetite.	Jeg har ingen appetit.
I have one brother.	Jeg har en bror.
I have one brother.	Jeg har én bror.
I have to find her.	Jeg er nødt til at finde hende.
I have to know why.	Jeg må vide hvorfor.
I have to know why.	Jeg er nødt til at vide hvorfor.
I have two cousins.	Jeg har to fætre.
I have two cousins.	Jeg har to kusiner.
I have two cousins.	Jeg har to søskendebørn.
I have two cousins.	Jeg har en fætter og en kusine.
I heard every word.	Jeg har hørt hvert ord.
I heard every word.	Jeg hørte hvert ord.
I heard every word.	Jeg har hørt hvert et ord.
I hope that helped.	Jeg håber det har hjulpet.
I hope that helped.	Jeg håber at det hjalp.
I hope you're well.	Jeg håber at du har det godt.
I knew how to swim.	Jeg kunne svømme.
I know where he is.	Jeg ved hvor han er.
I know where it is.	Jeg ved hvor det er.
I know your mother.	Jeg kender din mor.
I know your secret.	Jeg kender din hemmelighed.
I like L.A. better.	Jeg kan bedre lide Los Angeles.
I like apples best.	Jeg kan bedst lide æbler.
I like raspberries.	Jeg kan lide hindbær.
I like that statue.	Jeg synes godt om den statue.
I like to watch TV.	Jeg kan lide at se tv.
I like to watch TV.	Jeg kan lide at se fjernsyn.
I looked around me.	Jeg kiggede mig omkring.
I love apple cider.	Jeg elsker cider.
I love butterflies.	Jeg elsker sommerfugle.
I moved last month.	Jeg flyttede i sidste måned.
I mowed Tom's lawn.	Jeg har slået Toms græsplæne.
I mowed Tom's lawn.	Jeg slog Toms græsplæne.
I owe you a dinner.	Jeg skylder dig en middag.
I plowed the field.	Jeg pløjede marken.
I saw what you did.	Jeg så hvad du gjorde.
I slapped his face.	Jeg gav ham en lussing.
I smoke cigarettes.	Jeg ryger cigaretter.
I stopped to smoke.	Jeg stoppede for at ryge.
I swim once a week.	Jeg svømmer en gang ugentlig.
I swim once a week.	Jeg svømmer en gang om ugen.
I swim once a week.	Jeg svømmer en gang ugentligt.
I think he is sick.	Jeg tror han er syg.
I think he's happy.	Jeg tror han er glad.
I think he's lying.	Jeg tror han lyver.
I tried everything.	Jeg prøvede alt.
I walked to school.	Jeg gik til fods i skole.
I want a boyfriend.	Jeg vil have en kæreste.
I want a pet tiger.	Jeg ønsker mig en tiger som kæledyr.
I want to help you.	Jeg vil hjælpe dig.
I want to see them.	Jeg ønsker at se dem.
I want you to stay.	Jeg vil gerne have dig til at blive.
I was born in 1972.	Jeg blev født i 1972.
I was just curious.	Jeg var bare nysgerrig.
I was sound asleep.	Jeg sov dybt.
I watch television.	Jeg ser fjernsyn.
I watch television.	Jeg ser tv.
I watch television.	Jeg ser TV.
I wish I had a car.	Gid jeg havde en bil!
I wish I were dead.	Gid jeg var død!
I wish I were rich.	Gid jeg var rig!
I would've said no.	Jeg ville have sagt nej.
I'll buy a new one.	Jeg køber en ny.
I'll eat the apple.	Jeg vil spise æblet.
I'll explain later.	Jeg forklarer det senere.
I'll give Tom that.	Jeg vil give Tom det.
I'll give Tom that.	Jeg vil give det til Tom.
I'll keep in touch.	Jeg vil holde kontakten.
I'll ride with Tom.	Jeg kører med Tom.
I'll set the table.	Jeg vil dække bord.
I'll set the table.	Jeg dækker bord.
I'm an old man now.	Jeg er en gammel mand nu.
I'm counting on it.	Jeg regner med det.
I'm drinking water.	Jeg drikker vand.
I'm getting hungry.	Jeg begynder at blive sulten.
I'm going shopping.	Jeg går på indkøb.
I'm just a teacher.	Jeg er bare en lærer.
I'm just beginning.	Jeg er kun lige begyndt.
I'm not illiterate.	Jeg er ikke analfabet.
I'm reading a book.	Jeg læser en bog.
I'm reading a book.	Jeg er ved at læse en bog.
I'm sick of French.	Jeg er træt af fransk.
I'm taking off now.	Jeg tager af sted nu.
I'm taking off now.	Jeg stikker af nu.
I'm writing a book.	Jeg er ved at skrive en bog.
I'm writing a book.	Jeg er i gang med at skrive en bog.
I've been all over.	Jeg har været overalt.
I've been all over.	Jeg har været over det hele.
Is Tom able to eat?	Er Tom i stand til at spise?
Is Tom left-handed?	Er Tom venstrehåndet?
Is that gun loaded?	Er det skydevåben ladt?
Is the bridge safe?	Er broen sikker?
Is the window open?	Står vinduet åbent?
Is this your phone?	Er det din telefon?
Is this your phone?	Er dette din telefon?
Is this your phone?	Er det jeres telefon?
Isn't his name Tom?	Er hans navn ikke Tom?
Isn't his name Tom?	Er det ikke Tom han hedder?
It is cloudy today.	I dag er det skyet.
It isn't important.	Det er lige meget.
It looks like rain.	Det ser ud til regn.
It started to rain.	Det begyndte at regne.
It was Tom's fault.	Det var Toms skyld.
It was a nightmare.	Det var et mareridt.
It was just a kiss.	Det var bare et kys.
It'll be a big day.	Det bliver en stor dag.
It'll be all right.	Det skal nok gå.
It's a bad example.	Det er et dårligt eksempel.
It's a common name.	Det er et almindeligt navn.
It's a good system.	Det er et godt system.
It's for my family.	Den er til min familie.
It's his, isn't it?	Det er hans, er det ikke?
It's mine, not his.	Det er min, ikke hans.
It's not Christmas.	Det er ikke jul.
It's not important.	Det er lige meget.
It's not important.	Det er ikke vigtigt.
It's not our fault.	Det er ikke vores skyld.
It's time to party.	Det er tid til at feste.
It's too dangerous!	Det er for farligt!
It's too expensive!	Det er for dyrt!
Keep off the grass.	Græsset må ikke betrædes.
Keep your shoes on.	Behold skoene på!
Lesson Two is easy.	Anden lektion er let.
Lesson Two is easy.	Anden lektion er nem.
Let me see some ID.	Har du noget id?
Let me see some ID.	Har du noget ID?
Let me see some ID.	Lad mig se noget ID.
Let's buy this one.	Lad os købe den her.
Let's get divorced.	Lad os blive skilt.
Let's hit the sack.	Lad os gå til køjs.
Let's speak French.	Lad os tale fransk.
Let's take a train.	Lad os tage toget.
Let's wait and see.	Lad os vente og se.
Look at that house.	Kig på det hus.
Mars has two moons.	Mars har to måner.
Mary is Tom's wife.	Mary er Toms kone.
Mary is Tom's wife.	Mary er Toms hustru.
Mary is a waitress.	Mary er servitrice.
Mary was beautiful.	Mary var smuk.
My apples are gone.	Mine æbler er væk.
My brother is rich.	Min bror er rig.
My mother loves me.	Min mor elsker mig.
My name's Tom, too.	Mit navn er også Tom.
My nose is running.	Min næse løber.
Nothing went wrong.	Intet gik galt.
Nothing's going on.	Der foregår ikke noget.
Please don't do it.	Lad være med at gøre det!
Please have a seat.	Værsgo at tage plads.
Please have a seat.	Vær så venlig at sætte jer.
Please take a bath.	Tag venligst et bad.
Put it on the wall.	Put det op på væggen.
Real men drink tea.	Rigtige mænd drikker te.
She always says no.	Hun siger altid nej.
She did not listen.	Hun lyttede ikke.
She does not smoke.	Hun ryger ikke.
She has seven sons.	Hun har syv sønner.
She has small feet.	Hun har små fødder.
She has sunglasses.	Hun har solbriller.
She is a sophomore.	Hun er andetårsstuderende.
She is from France.	Hun er fra Frankrig.
She is hard on him.	Hun er hård ved ham.
She is unconscious.	Hun er bevidstløs.
She is very pretty.	Hun er meget smuk.
She made me a cake.	Hun bagte en kage til mig.
She made me a cake.	Hun bagte mig en kage.
She needs our help.	Hun har brug for vores hjælp.
She sat next to me.	Hun sad ved siden af mig.
She speaks Chinese.	Hun taler kinesisk.
She speaks Russian.	Hun taler russisk.
She wants to dance.	Hun vil danse.
She wants to dance.	Hun ønsker at danse.
She's a sweet girl.	Hun er en sød pige.
She's an alcoholic.	Hun er alkoholiker.
She's not a doctor.	Hun er ikke læge.
She's thirty-three.	Hun er treogtredive.
Speak for yourself.	Tal for dig selv.
Stop. That tickles.	Hold op! Det kilder!
Stop. That tickles.	Hold op! Det kildrer!
Take what you want.	Tag hvad du vil have.
Take what you want.	Tag hvad du ønsker.
That can't be true.	Det kan ikke være sandt.
That is a bus stop.	Det er et busstoppested.
That was my choice.	Det var mit valg.
That was very good.	Det var meget godt.
That's Tom's house.	Det er Toms hus.
That's how life is.	Sådan er livet.
That's my umbrella.	Det er min paraply.
That's not my wife.	Det er ikke min kone.
That's not my wife.	Det er ikke min hustru.
That's so juvenile.	Det er så barnligt.
That's the problem.	Der ligger hunden begravet!
That's the reality.	Det er virkeligheden.
That's too complex.	Det er for kompliceret.
The apples are red.	Æblerne er røde.
The clock is wrong.	Uret går forkert.
The damage is done.	Skaden er sket.
The dog is barking.	Hunden gør.
The door is locked.	Døren er låst.
The earth is round.	Jorden er rund.
The fog has lifted.	Tågen er lettet.
The game is rigged.	Spillet var aftalt på forhånd.
The gates are open.	Portene er åbne.
The ice is melting.	Isen smelter.
The old dog barked.	Den gamle hund gøede.
The paper is white.	Papiret er hvidt.
The server is down.	Serveren er nede.
The snow is melted.	Sneen er smeltet.
The spider is dead.	Edderkoppen er død.
The story was true.	Historien var sand.
The summer is over.	Sommeren er forbi.
The summer is over.	Sommeren er ovre.
The summer is over.	Sommeren er omme.
The sun is shining.	Solen skinner!
The tire leaks air.	Dækket taber luft.
The water is clean.	Vandet er rent.
The waves are high.	Bølgerne er høje.
The woman is ready.	Kvinden er parat.
The wood is rotten.	Træet er råddent.
There's a big hole.	Der er et stort hul.
There's no way out.	Der er ingen udvej.
These are my pants.	De her er mine bukser.
These are my pants.	Disse er min bukser.
These dogs are big.	Disse hunde er store.
They all can drive.	De kan alle køre.
They don't like me.	De kan ikke lide mig.
They kept drinking.	De fortsatte med at drikke.
They must be happy.	De må være lykkelige.
They spoke briefly.	De talte kort.
They won't find it.	De finder den ikke.
They won't find it.	Det vil de ikke finde.
They work at night.	De arbejder om natten.
They work too much.	De arbejder for meget.
They're tough guys.	De er nogle barske fyre.
They're tough guys.	De er nogle hårde fyre.
They're tough guys.	De er nogle bisser.
This book is small.	Denne bog er lille.
This is a hospital.	Dette er et hospital.
This is a hospital.	Dette er et sygehus.
This is all I know.	Dette er alt hvad jeg ved.
This is good sushi.	Dette er en god sushi.
This is impossible.	Det er umuligt.
This is impossible.	Dette er umuligt.
This is my bicycle.	Dette er min cykel.
This is my brother.	Det er min bror.
This is so amazing.	Det er så fantastisk.
Tie your shoelaces.	Bind dine snørebånd.
Tom asked Mary out.	Tom inviterede Mary ud.
Tom called in sick.	Tom meldte sig syg.
Tom can't eat pork.	Tom kan ikke spise svinekød.
Tom can't help you.	Tom kan ikke hjælpe dig.
Tom cut his finger.	Tom skar sin finger.
Tom died in a fire.	Tom døde i en brand.
Tom died last year.	Tom døde sidste år.
Tom died of typhus.	Tom døde af tyfus.
Tom had a headache.	Tom havde hovedpine.
Tom has brown hair.	Tom har brunt hår.
Tom has three cats.	Tom har tre katte.
Tom has three dogs.	Tom har tre hunde.
Tom has three sons.	Tom har tre sønner.
Tom has tiny hands.	Tom har små hænder.
Tom hates his name.	Tom hader sit navn.
Tom hugged his dog.	Tom krammede sin hund.
Tom is a beekeeper.	Tom er biavler.
Tom is a good cook.	Tom er en god kok.
Tom is a hypocrite.	Tom er en hykler.
Tom is a real nerd.	Tom er en rigtig nørd.
Tom is dumbfounded.	Tom er lamslået.
Tom is really cool.	Tom er rigtig cool.
Tom is really cool.	Tom er rigtig sej.
Tom is right there.	Tom er lige der.
Tom is sure to win.	Tom vil helt sikkert vinde.
Tom is very polite.	Tom er meget høflig.
Tom isn't dead yet.	Tom er ikke død endnu.
Tom lives downtown.	Tom bor i den indre by.
Tom lives downtown.	Tom bor i bymidten.
Tom looks like you.	Tom ligner dig.
Tom might be right.	Tom kan have ret.
Tom might be right.	Tom har muligvis ret.
Tom milked the cow.	Tom malkede koen.
Tom ordered a beer.	Tom bestilte en øl.
Tom ran after Mary.	Tom løb efter Mary.
Tom ran out of gas.	Tom løb tør for benzin.
Tom salted his egg.	Tom saltede sit æg.
Tom says he's rich.	Tom siger han er rig.
Tom seems generous.	Tom synes generøs.
Tom sold his house.	Tom har solgt sit hus.
Tom sold his house.	Tom solgte sit hus.
Tom started to run.	Tom begyndte at løbe.
Tom teaches French.	Tom underviser i fransk.
Tom won't get away.	Tom vil ikke komme væk.
Tom's a big coward.	Tom er en stor kujon.
Tom's hair is long.	Toms hår er langt.
Tom's not home yet.	Tom er endnu ikke kommet hjem.
Tomorrow is Sunday.	I morgen er det søndag.
Turn the sound off.	Sluk for lyden.
We adopted a child.	Vi har adopteret et barn.
We adopted a child.	Vi adopterede et barn.
We are against war.	Vi er imod krig.
We are from France.	Vi er fra Frankrig.
We ate some apples.	Vi spiste nogle æbler.
We do not know her.	Vi kender hende ikke.
We don't like rain.	Vi kan ikke lide regn.
We get it for free.	Vi får den gratis.
We get it for free.	Vi får det gratis.
We have everything.	Vi har alting.
We live in a house.	Vi bor i et hus.
We love each other.	Vi elsker hinanden.
We need everything.	Vi har brug for alt.
We will meet again.	Vi ses igen.
We will meet again.	Vi vil mødes igen.
We're saving lives.	Vi redder liv.
We're with the CIA.	Vi kommer fra CIA.
We've gone too far.	Vi er gået for langt.
Weren't you crying?	Græd du ikke?
What a big pumpkin!	Sikken et stort græskar!
What a big pumpkin!	Sikke et stort græskar!
What a mean fellow!	Sikke en ond fyr.
What a pretty girl!	Sikke en køn pige!
What a pretty girl!	Sikke en smuk pige!
What a strange man!	Sikken en mærkelig mand!
What are you doing?	Hvad laver du?
What are you doing?	Hvad gør du?
What did Tom write?	Hvad skrev Tom?
What does Tom have?	Hvad har Tom?
What does Tom want?	Hvad vil Tom?
What don't we know?	Hvad ved vi ikke?
What happened here?	Hvad skete der her?
What happened next?	Hvad skete der så?
What is it made of?	Hvad er det lavet af?
What're you saying?	Hvad siger du?
What's the hold up?	Hvad skyldes trafikproblemet?
What's the problem?	Hvad er problemet?
When will you come?	Hvornår kommer du?
Where are you from?	Hvor er du fra?
Where did he do it?	Hvor gjorde han det?
Where does he live?	Hvor bor han?
Where does it hurt?	Hvor gør det ondt?
Where is the vodka?	Hvor er vodkaen?
Where is your coat?	Hvor er din frakke?
Where was everyone?	Hvor var alle?
Where's the toilet?	Hvor er toilettet?
Where's the toilet?	Hvor er WC'et?
Where's the toilet?	Hvor er wc'et?
Where's the toilet?	Hvor er lokummet?
Which dog is yours?	Hvilken hund er din?
Who is that person?	Hvem er den mand?
Who took the money?	Hvem tog pengene?
Who's your teacher?	Hvem er din lærer?
Whose room is this?	Hvis værelse er dette?
Why are you crying?	Hvorfor græder du?
Why worry about it?	Hvorfor bekymre sig om det?
You are a good boy.	Du er en god dreng.
You broke your arm.	Du brækkede din arm.
You can smoke here.	Du kan ryge her.
You got here early.	Du kom tidligt.
You got very drunk.	Du blev meget fuld.
You have four dogs.	Du har fire hunde.
You have four dogs.	I har fire hunde.
You just need help.	Du har blot brug for hjælp.
You need a new hat.	Du har brug for en ny hat.
You need to resign.	Du er nødt til at træde tilbage.
You owe me a favor.	Du skylder mig en tjeneste.
You won't be fired.	Du bliver ikke fyret.
You'll regret this.	Det kommer du til at fortryde!
You're all cowards.	I er alle krystere.
You're all cowards.	I er alle kujoner.
You're all cowards.	I er alle bangebukse.
You're not my type.	Du er ikke min type.
You're quite smart.	Du er ganske klog.
You're still young.	Du er stadigvæk ung.
You're still young.	I er stadigvæk unge.
You're unambitious.	Du er uambitiøs.
You've betrayed us.	Du har forrådt os.
You've got a fever.	Du har feber.
Your lips are blue.	Dine læber er blå.
"Trust me," he said.	»Stol på mig«, sagde han.
A whale is a mammal.	En hval er et pattedyr.
Answer the question.	Svar på spørgsmålet.
Answer the question.	Besvar spørgsmålet.
Are you lying to me?	Lyver du over for mig?
Are you on Facebook?	Er du på Facebook?
Are you on Facebook?	Er I på Facebook?
Are you two friends?	Er I to venner?
Breakfast is served.	Morgenmaden er serveret.
But I wasn't afraid.	Men jeg var ikke bange.
Can I have a second?	Har du et sekund?
Can I have some tea?	Må jeg få noget te?
Can I walk you home?	Må jeg følge dig hjem?
Can someone help me?	Er der nogen der kan hjælpe mig?
Can you drive a car?	Kan du køre bil?
Can you read French?	Kan du læse fransk?
Can your wife drive?	Kan din kone køre bil?
Change is important.	Forandring er vigtig.
Cookie needs a walk.	Cookie trænger til at blive luftet.
Could it be a virus?	Kunne det være en virus?
Could it be a virus?	Kunne det være et virus?
Do the best you can!	Gør det så godt du kan!
Do you drink coffee?	Drikker du kaffe?
Do you have a house?	Har du et hus?
Do you have a house?	Har De et hus?
Do you have a house?	Har I et hus?
Do you like my hair?	Kan du lide mit hår?
Do you like ravioli?	Kan du lide ravioli?
Do you like writing?	Kan du lide at skrive?
Do you speak French?	Taler du fransk?
Does Tom have a pet?	Har Tom et kæledyr?
Does your wife work?	Arbejder din kone?
Does your wife work?	Har din kone et arbejde?
Don't listen to her.	Lyt ikke til hende.
Don't make me laugh.	Få mig ikke til at le.
Don't touch my bike.	Fingrene væk fra min cykel!
Eat your vegetables.	Spis jeres grøntsager!
Enjoy your holidays.	God ferie!
Europe is in crisis.	Europa er i krise.
Every minute counts.	Hvert minut tæller.
Everything is ready.	Alt er parat.
Get back in the van.	Kom tilbage i bilen.
Get back in the van.	Kom tilbage i varevognen.
Give Tom his change.	Giv Tom hans byttepenge.
Give me three weeks.	Giv mig tre uger.
Give peace a chance.	Giv freden en chance.
Give peace a chance.	Giv freden en chance!
God created mankind.	Gud skabte menneskene.
Hand me that hammer.	Ræk mig den hammer.
Have a good weekend.	Du må have en god weekend.
Have a good weekend.	God weekend!
Have a good weekend.	I må have en god weekend.
Have a seat, please.	Værsgo at tage plads.
Have a seat, please.	Værsågod at tage plads.
He came home at ten.	Han kom hjem ved ti-tiden.
He comes from Wales.	Han kommer fra Wales.
He commited suicide.	Han begik selvmord.
He didn't know that.	Det vidste han ikke.
He drives very fast.	Han kører meget hurtigt.
He found his master.	Han fandt sin herre.
He gave me an apple.	Han gav mig et æble.
He has a big family.	Han har en stor familie.
He hates air travel.	Han hader flyrejser.
He is a good singer.	Han er en god sanger.
He is at his office.	Han er på sit kontor.
He is my old friend.	Han er min gamle ven.
He is playing music.	Han spiller musik.
He is very handsome.	Han er meget smuk.
He lent me 30 pesos.	Han lånte mig 30 pesos.
He treated me badly.	Han behandlede mig dårligt.
He wouldn't give in.	Han gav ikke efter.
He wrote one letter.	Han har skrevet et brev.
He's a chain smoker.	Han er kæderyger.
He's a ghost hunter.	Han er spøgelsesjæger.
He's afraid of dogs.	Han er bange for hunde.
He's an opera lover.	Han er operaelsker.
He's got a headache.	Han har hovedpine.
He's in for a shock.	Han vil få et chok.
He's too old for me.	Han er for gammel til mig.
Her cheeks were red.	Hendes kinder var røde.
His bicycle is blue.	Hans cykel er blå.
His family loved me.	Hans familie elskede mig.
His jokes amused me.	Hans vittigheder morede mig.
His real name's Tom.	Hans rigtige navn er Tom.
His wife is Swedish.	Hans kone er svensker.
Honesty is a virtue.	Ærlighed er en dyd.
How did that happen?	Hvordan gik det til?
How old is this dog?	Hvor gammel er denne hund?
How old is your cat?	Hvor gammel er din kat?
How old is your cat?	Hvor gammel er jeres kat?
I am a teacher, too.	Jeg er også lærer.
