Wow!	Carai!
This story is far more interesting than that one.	Aquesta història és molt més interessant que aquella.
I took it for granted that he would pass the exam.	Dono per descomptat que aprovarà l'examen.
They insisted on my making use of the opportunity.	Em varen insistir per a que aprofitès aquella oportunitat.
Do you know which deity this temple is dedicated to?	Sabeu a quina divinitat està dedicat aquest temple?
Why don't we see if Tom wants to play cards with us?	Perquè no mirem si en Tom vol jugar a les cartes amb niosaltres?
I was glad to see that he finally came to his senses.	Vaig estar content de veure que al final va posar-hi seny.
It's difficult for me to express myself in Esperanto.	Per mi és difícil expressar-me en esperanto.
I want to live in a quiet city where the air is clean.	Vull viure a una ciutat tranquila amb l'aire pur.
If you don't want to be alone, I can keep you company.	Si no vols estar sol, puc fer-te companyia.
He will take over the business when his father retires.	Ell continuarà el negoci quan son pare es jubili.
My mother likes tulips very much and so does my sister.	A ma mare li agraden molt les tulipes i a ma germana també.
This cola has lost its fizz and doesn't taste any good.	Aquesta cola s'ha esbravat i no té bon gust.
Tom is accustomed to calling up girls on the telephone.	En Tom acostuma a trucar noies.
Cuzco is one of the most interesting places in the world.	Cuzco és un dels indrets més interessants del món.
I stayed in bed one more day just to be on the safe side.	Em vaig quedar un dia més al llit per si de cas.
Tom will likely be discharged from the hospital tomorrow.	Demà donaran d'alta de l'hospital en Tom.
"How are you feeling this morning?" "Pretty good, thanks."	"Com et sents aquest matí?" "Bastant bé, gràcies."
People of my generation all think the same way about this.	Tota la gent de la meva generació pensen igual sobre això.
The only useful answers are those that raise new questions.	Les úniques respostes útils són les que creen noves preguntes.
It takes us thirty minutes to walk from here to the station.	D'aquí a l'estació triguem mitja hora a peu.
The secret of longevity is to choose your parents carefully.	El secret de la longevitat és triar amb compte els pares.
It takes about 10 minutes to get to the train station by foot.	Tens uns 10 minuts d'aquí a l'estació a peu.
This medicine must not be placed within the reach of children.	Aquest medicament no s'ha de deixar a la ma dels nins.
You told her that you had finished the work three days before.	Li vas dir que havies enllestit la feina feia tres dies.
His father died, and to make matters worse, his mother fell ill.	Son pare es va morir, i per acabar-ho d'adobar, sa mare es va posar malalta.
Try to understand it in Spanish, without translating to English.	Tracta d'entendre-ho amb espanyol, sense traduïr-lo amb anglès.
We lost our way, and what was worse, we were caught in a shower.	Ens vam perdre i, encara pitjor, ens va enxampar un xàfec.
She's worried since she hasn't heard from her son for many months.	Està amoïnada perquè fa mesos que no té notícia del seu fill.
I suspected that he was telling a lie, but that didn't surprise me.	Sospitava que m'estava dient una mentida, però això no em va sorprendre.
My daughter won't find it easy to get accustomed to the new school.	La meva filla no trobarà fàcil per acostumar-se a la nova escola.
The bullet penetrated his chest, leaving him in critical condition.	La bala va penetrar al seu pit i el va deixar en estat crític.
I wanted to buy the book, but I found I had no more than 200 yen with me.	Volia comprar el llibre, però vaig adonar-me que no duia més de 200 iens.
For the first time in more than 6 years, the unemployment rate is below 6%.	Per primera vegada en més de 6 anys, la taxa d'atur està per davall del 6%.
We would have bought the plane tickets if the price had been a little lower.	Hauríem comprat els bitllets d'avió si el preu fos un pèl més baix.
My friend has had three jobs in a year; he never sticks to anything for long.	El meu amic ha treballat a tres llocs diferents en un any; res no li dura gaire.
You can't park in a handicapped parking space unless you have a special permit.	No pots aparcar a una plaça d'aparcament per discapacitats si no tens un permís especial.
Drinking lots of water is good for you, sure, but one can't drink that much water at once.	Beure molta aigua és bo per tu, segur, però no es pot beure tanta aigua de cop.
We're going to make sure that no one is taking advantage of the American people for their own short-term gain.	Ens assegurarem que ningú s'estiga aprofitant del poble americà per al seu propi interès a curt termini.
