Hi.	Cső!
No one likes it.	Ez senkinek nem tetszik.
No one listened.	Senki nem figyelt oda.
No one panicked.	Senki nem esett pánikba.
No one was seen.	Senkit nem láttak.
No one's hungry.	Senki nem éhes.
Nobody answered.	Senki sem válaszolt.
Nobody got paid.	Senkit nem fizettek ki.
Nobody got shot.	Senkit nem lőttek meg.
Nobody likes it.	Senki sem szereti.
Nobody loves me.	Engem senki sem szeret.
Nobody stood up.	Senki nem állt fel.
Nobody wants it.	Senki sem akarja.
Nobody was hurt.	Senki nem sérült meg.
Nobody's moving.	Senki sem mozog.
Nothing changes.	Semmi nem változik.
Nothing's there.	Semmi nincs ott.
Nothing's wrong.	Nincs semmi baj.
Now I'm worried.	Most aggódom.
Oh, don't worry.	Ó, ne aggódj!
Once was enough.	Egyszer elég volt.
Open the bottle.	Nyisd ki az üveget!
Open your mouth!	Nyisd ki a szád!
Our plan failed.	A tervünk megbukott.
Our plan worked.	Bevált a tervünk.
People like Tom.	Az emberek szeretik Tomit.
Please be quiet!	Maradj már csöndben!
Please fix that.	Kérlek, javítsd az meg!
Please fix this.	Kérlek, javítsd ezt meg!
Please fix this.	Javítsd ki, kérlek!
Please hurry up!	Kérlek, siess!
Please sit here.	Kérlek, ülj ide!
Please, tell me.	Kérlek, meséld el!
Please, tell me.	Mondd el, kérlek.
Put on your cap.	Tedd föl a sapkádat.
Repeat after me.	Ismételd utánam!
Rules are rules.	A szabály az szabály.
Saddle my horse.	Nyergeld fel a lovamat!
Saddle my horse.	Nyergeld a lovam!
Say no to drugs.	Mondj nemet a drogokra!
Sharks eat fish.	A cápák halat esznek.
She admired him.	Csodálta őt.
She adores cats.	Imádja a macskákat.
She disappeared.	Eltűnt.
She forgave him.	Megbocsátott neki.
She had a radio.	Volt egy rádiója.
She is a doctor.	Ő orvos.
She is graceful.	Ő bájos.
She is stubborn.	Ő makacs.
She looks happy.	Boldognak látszik.
She looks young.	Ő fiatalnak látszik.
She looks young.	Fiatalnak látszik.
She married him.	Hozzáment.
She pinched him.	Megcsípte őt.
She stabbed him.	Megszúrta őt.
She talks a lot.	Sokat beszél.
She went inside.	Bement.
She worked hard.	Keményen dolgozott.
She works a lot.	Sokat dolgozik.
She's on a diet.	Diétázik.
Should I buy it?	Megvegyem?
Should we worry?	Aggódnunk kellene?
Should we worry?	Aggódnunk kéne?
Show them to me.	Mutasd meg őket nekem.
Show us the way.	Mutasd nekünk az utat!
Show us the way.	Mutasd meg nekünk az utat!
Show your cards.	Mutasd, mid van!
Show your cards.	Mutasd a lapjaidat!
Shut the window.	Csukd be az ablakot!
Silly, isn't it?	Ostoba dolog, igaz?
Slow down a bit.	Lassíts le egy kicsit.
So what do I do?	Nos, mit tehetek?
Somebody called.	Valaki hívott.
Somebody's here.	Valaki itt van.
Someone coughed.	Valaki köhögött.
Someone help me.	Valaki segítsen nekem!
Someone's there.	Valaki ott van.
Sorry, I forgot.	Sajnálom, elfelejtettem.
Sorry, I'm late.	Elnézést a késésért.
Spanish is easy.	A spanyol könnyű.
Spring has come.	Itt a tavasz.
Stay in the car.	Maradj az autóban!
Stay in the car.	Maradj a kocsiban!
Stop doing that.	Hagyd ezt abba!
Stop right here.	Pontosan itt állj meg!
Stop squabbling.	Fejezd be a civakodást!
Stop whimpering.	Hagyd abba a nyafogást!
Stop whimpering.	Fejezd be a nyafogást!
Sweep the floor.	Söpörd föl a padlót.
Take everything.	Vigyél mindent!
Tell me a story.	Mesélj nekem valamit!
Thanks for that.	Köszönet érte.
That cost a lot.	Sokba került.
That is correct.	Ez helyes.
That is her car.	Az az ő autója.
That looked bad.	Az rosszul nézett ki.
That was stupid.	Ez hülyeség volt.
That'll be good.	Ez jó lesz.
That's accurate.	Ez pontos.
That's an order.	Ez parancs!
That's annoying.	Ez idegesítő.
That's bad news.	Ez rossz hír.
That's cheating.	Ez csalás.
That's horrible.	Ez szörnyű.
That's not love.	Ez nem szerelem.
That's pathetic.	Ez szánalmas.
That's personal.	Ez személyes.
That's possible.	Ez lehetséges.
That's sensible.	Ez ésszerű.
That's so sweet.	Olyan édes!
That's terrible.	Ez borzalmas.
That's terrible.	Ez szörnyű.
That's terrible.	Ez rémes.
That's the goal.	Ez a cél.
That's the plan.	Ez a terv.
That's the snag.	Ez a bökkenő.
That's too much.	Ez túl sok.
That's unlikely.	Ez nem valószínű.
That's unlikely.	Ez valószínűtlen.
That's your job.	Ez a te dolgod.
The bike's mine.	A kerékpár az enyém.
The book is red.	A könyv piros.
The boy is kind.	A fiú kedves.
The boy is kind.	Kedves fiú.
The car is blue.	Az autó kék.
The die is cast.	A kocka el van vetve.
The dog is dead.	A kutya megdöglött.
The dog is dead.	A kutya elpusztult.
The door opened.	Az ajtó kinyílt.
The engine died.	A motor elromlott.
The gate opened.	A kapu kinyílt.
The leaves fell.	A levelek lehullottak.
The light is on.	A lámpa ég.
The sky is blue.	Az ég kék.
The soup's cold.	A leves hideg.
The two laughed.	Kacagott a kettő.
There was blood.	Vér volt ott.
There's a catch.	Van egy bökkenő.
There's a catch.	Van egy hátulütő.
There's no fire.	Nincs tűz.
There's no hope.	Nincs remény.
There's no salt.	Ez nem só.
There's no soap.	Nincs szappan.
These are facts.	Ezek a tények.
These are fresh.	Ezek frissek.
These are heavy.	Ezek nehezek.
These look nice.	Jól néznek ki.
They angered me.	Felmérgeltek.
They angered me.	Feldühítettek.
They are actors.	Ők színészek.
They are hungry.	Éhesek.
They are pilots.	Ők pilóták.
They are pretty.	Ők csinosak.
They believe it.	Elhiszik.
They both laugh.	Nevettek ők ketten.
They deserve it.	Megérdemlik.
They didn't run.	Nem futottak.
They didn't run.	Ők nem futottak.
They feared you.	Féltek tőled.
They found this.	Ezt találták.
They left early.	Korán távoztak.
They live apart.	Külön élnek.
They live there.	Ők ott élnek.
They live there.	Ott laknak.
They look happy.	Boldognak látszanak.
They lost again.	Megint veszítettek.
They missed Tom.	Hiányzott nekik Tom.
They seem happy.	Boldognak látszanak.
They want peace.	Békét akarnak.
They went there.	Odamentek.
They were drunk.	Részegek voltak.
They were naive.	Naivak voltak.
They were right.	Igazuk volt.
They'll find us.	Meg fognak minket találni.
They'll respond.	Válaszolni fognak.
They'll survive.	Túl fogják élni.
They're Russian.	Ők oroszok.
They're arguing.	Ők vitatkoznak.
They're cousins.	Ők unokatestvérek.
They're dancing.	Táncolnak.
They're enemies.	Ellenségek.
They're friends.	Ők barátok.
They're friends.	Ők ismerősök.
They're kissing.	Csókolóznak.
They're married.	Ők házasok.
They're outside.	Kint vannak.
They're similar.	Ők hasonlók.
They're smiling.	Mosolyognak.
They're special.	Ők különlegesek.
They're staying.	Maradnak.
They're trapped.	Csapdában vannak.
They're useless.	Ők hasztalanok.
They're waiting.	Várnak.
They're with me.	Ők velem vannak.
They're working.	Dolgoznak.
They're worried.	Aggódnak.
They've changed.	Megváltoztak.
This car is his.	Ez az ő autója.
This is a horse.	Ez egy ló.
This is correct.	Ez helyes.
This is his car.	Ez a kocsija.
This is hogwash.	Ez baromság.
This is hogwash.	Baromság.
This is my book.	A könyv az enyém.
This is my life.	Ez az életem!
This is my plan.	Ez a tervem.
This is no myth.	Ez nem egy mítosz.
This is nothing.	Ez semmi.
This is on sale.	Ez eladó.
This is our bag.	Ez a táskánk.
This is private.	Ez privát.
This is private.	Ez saját.
This is rubbish.	Ez hülyeség.
This is serious.	Ez komoly.
This is special.	Ez különleges.
This is too big.	Ez túl nagy.
This is unusual.	Ez szokatlan.
This is useless.	Ez használhatatlan.
This isn't hard.	Ez nem nehéz.
This isn't love.	Ez nem szerelem.
This isn't mine.	Ez nem az enyém.
This might help.	Ez talán segíthet.
This one's free.	Ez ingyenes.
This tastes bad.	Ennek rossz íze van.
Time is limited.	Az idő korlátozott.
Times are tough.	Nehéz idők járnak.
Times were hard.	Kemény idők voltak.
Today is Monday.	Ma hétfő van.
Today is Sunday.	Ma vasárnap van.
Today is Sunday.	Vasárnap van ma.
Tom accelerated.	Tom gyorsított.
Tom almost died.	Tom majdnem meghalt.
Tom also dances.	Tom is szokott táncolni.
Tom ate nothing.	Tom semmit sem evett.
Tom believed it.	Tom ezt elhitte.
Tom blacked out.	Tomi előtt elsötétült a kép.
Tom called Mary.	Tom felhívta Maryt.
Tom came by bus.	Tom busszal jött.
Tom came inside.	Bejött Tomi.
Tom came inside.	Tom bejött.
Tom can explain.	Tom tudja rá a magyarázatot.
Tom can't drive.	Tom nem tud vezetni.
Tom can't leave.	Tomi nem tud elmenni.
Tom caused this.	Ez Tom miatt van.
Tom dances well.	Tomi jól táncol.
Tom didn't know.	Tom nem tudta.
Tom didn't talk.	Nem beszélgetett Tom.
Tom died Monday.	Tom hétfőn halt meg.
Tom disappeared.	Tamás eltűnt.
Tom disgusts me.	Undorodom Tomtól.
Tom doesn't lie.	Nem hazudik Tom.
Tom doesn't lie.	Tom az igazat mondja.
Tom drinks wine.	Tom bort iszik.
Tom drinks wine.	Tom borozik.
Tom drives fast.	Tom gyorsan vezet.
Tom drives fast.	Tom gyorsan hajt.
Tom eats slowly.	Tom lassan eszik.
Tom enjoys that.	Tom ezt élvezi.
Tom exaggerated.	Tom túlzott.
Tom exaggerates.	Tom túlzott.
Tom expected it.	Erre számított Tom.
Tom expected it.	Ezt várta Tom.
Tom fell asleep.	Tom elaludt.
Tom fell asleep.	Tom álomba szenderült.
Tom felt guilty.	Tom bűnösnek érezte magát.
Tom felt hungry.	Tom éhesnek érezte magát.
Tom felt lonely.	Tom magányosnak érezte magát.
Tom fired first.	Tom lőtt először.
Tom fired first.	Tom tüzelt elsőként.
Tom followed me.	Követett Tom.
Tom followed us.	Tom követett minket.
Tom followed us.	Tom utánunk jött.
Tom fooled Mary.	Tom becsapta Maryt.
Tom fought well.	Jól küzdött Tom.
Tom got cheated.	Tomit becsapták.
Tom got married.	Tom megházasodott.
Tom got nervous.	Tom ideges lett.
Tom got nothing.	Tom semmit nem kapott.
Tom got the job.	Tom kapta meg az állást.
Tom got unlucky.	Tominak pechje volt.
Tom has a beard.	Tominak van szakálla.
Tom has a fever.	Tom lázas.
Tom has a guest.	Tominak vendége van.
Tom has a piano.	Tominak van egy zongorája.
Tom has a piano.	Tamásnak van zongorája.
Tom has company.	Tominak társasága akadt.
Tom has hiccups.	Tom csuklik.
Tom has my keys.	Tominál vannak a kulcsaim.
Tom has retired.	Tom nyugdíjba vonult.
Tom has the flu.	Tomi influenzás.
Tom has to stay.	Tamásnak maradnia kell.
Tom hugged Mary.	Tom megölelte Maryt.
Tom hugged Mary.	Tamás átölelte Máriát.
Tom is Canadian.	Tom kanadai.
Tom is a lawyer.	Tom ügyvéd.
Tom is a misfit.	Tom sehová nem passzol.
Tom is a potter.	Tom fazekas.
Tom is a singer.	Tom énekes.
Tom is a winner.	Tom nyertes.
Tom is a winner.	Tom győztes.
Tom is adorable.	Tom imádnivaló.
Tom is anorexic.	Tom anorexiás.
Tom is arrogant.	Tom arrogáns.
Tom is athletic.	Tom sportos.
Tom is bleeding.	Tom vérzik.
Tom is blushing.	Tom vörösödik.
Tom is careless.	Tom gondatlan.
Tom is careless.	Tom figyelmetlen.
Tom is careless.	Tom hanyag.
Tom is charming.	Tom sármos.
Tom is clueless.	Tom tudatlan.
Tom is coughing.	Tom köhög.
Tom is creative.	Tom kreatív.
Tom is credible.	Tom hihető.
Tom is cultured.	Tom művelt.
Tom is decisive.	Tom meggyőző.
Tom is deranged.	Tom zavarodott.
Tom is diabetic.	Tom cukorbeteg.
Tom is diligent.	Tom szorgalmas.
Tom is discreet.	Tom diszkrét.
Tom is disloyal.	Tom hűtlen.
Tom is dreaming.	Tom álmodik.
Tom is drowning!	Tom fuldoklik!
Tom is faithful.	Tom hűséges.
Tom is flexible.	Tom rugalmas.
Tom is friendly.	Tom barátságos.
Tom is generous.	Tom nagylelkű.
Tom is grounded.	Tom szobafogságban van.
Tom is gullible.	Tom naiv.
Tom is gullible.	Tom hiszékeny.
Tom is hammered.	Tom totál részeg.
Tom is handsome.	Tom jóképű.
Tom is helpless.	Tom tehetetlen.
Tom is homesick.	Tamásnak honvágya van.
Tom is homesick.	Tamás honvágyat érez.
Tom is hopeless.	Tom reménytelen.
Tom is horrible.	Tom borzalmas.
Tom is insolent.	Tom szemtelen.
Tom is laughing.	Tom nevet.
Tom is my buddy.	Tomi a haverom.
Tom is my buddy.	Tomi a pajtim.
Tom is my guest.	Tom a vendégem.
Tom is not here.	Tom nincs itt.
Tom is our hero.	Tom a mi hősünk.
Tom is sleeping.	Tom alszik.
Tom is sneezing.	Tom tüsszög.
Tom is sweating.	Tom izzad.
Tom is swimming.	Tom úszik.
Tom is the best.	Tom a legjobb.
Tom is the best.	Tom az ászok ásza.
Tom is thinking.	Tom gondolkodik.
Tom is tolerant.	Tom toleráns.
Tom is too nosy.	Tom túl zajos.
Tom is too thin.	Tom túl sovány.
Tom is training.	Tom edz.
Tom is upstairs.	Tom az emeleten van.
Tom is very sad.	Tom nagyon szomorú.
Tom is well off.	Tominak jól megy a sora.
Tom is wheezing.	Tom liheg.
Tom isn't fussy.	Tom nem háklis.
Tom isn't petty.	Tom nem kicsinyes.
Tom kicked Mary.	Tom megrúgta Maryt.
Tom killed Mary.	Tom megölte Maryt.
Tom knows wines.	Tamás ismeri a borokat.
Tom leaned down.	Tom lehajolt.
Tom lied to you.	Tamás hazudott neked.
Tom lived alone.	Tom egyedül élt.
Tom lived there.	Tom ott élt.
Tom lives alone.	Tom egyedül él.
Tom looks angry.	Tom dühösnek néz ki.
Tom looks bored.	Tom úgy tűnik, hogy unatkozik.
Tom looks happy.	Tom boldognak tűnik.
Tom looks tired.	Tom fáradtnak tűnik.
Tom looks young.	Tom fiatalnak látszik.
Tom lost weight.	Tom lefogyott.
Tom may be late.	Lehet, hogy Tomi késik.
Tom misses Mary.	Tomnak hiányzik Mary.
Tom needed cash.	Tominak készpénzre volt szüksége.
Tom needed help.	Tamásnak segítségre volt szüksége.
Tom needs a cab.	Tamásnak taxira van szüksége.
Tom needs money.	Tomnak pénzre van szüksége.
Tom plays piano.	Tamás zongorázik.
Tom read a book.	Tom egy könyvet olvasott.
Tom sang for us.	Tom énekelt nekünk.
Tom saw nothing.	Tom semmit sem látott.
Tom saw someone.	Tom látott valakit.
Tom seemed lost.	Tom elveszettnek tűnt.
Tom seemed nice.	Tom kedvesnek tűnt.
Tom seems happy.	Tom boldognak tűnik.
Tom sipped wine.	Tom bort kortyolgatott.
Tom speaks fast.	Tom gyorsan beszél.
Tom surrendered.	Tom megadta magát.
Tom sympathized.	Tom együtt érzett.
Tom understands.	Tom megérti.
Tom volunteered.	Tom önként jelentkezett.
Tom walked home.	Tom hazasétált.
Tom wanted Mary.	Tominak Mária kellett.
Tom wanted more.	Tom többet szeretett volna.
Tom wanted this.	Ezt akarta Tomi.
Tom wants money.	Pénz kell Tominak.
Tom was a coach.	Tom edző volt.
Tom was adopted.	Tomot örökbe fogadták.
Tom was at home.	Tom otthon volt.
Tom was curious.	Tom kíváncsi volt.
Tom was devoted.	Tom odaadó volt.
Tom was evasive.	Tom határozatlan volt.
Tom was foolish.	Tom bolond volt.
Tom was furious.	Tom dühös volt.
Tom was healthy.	Tamás egészséges volt.
Tom was jealous.	Tom féltékeny volt.
Tom was on duty.	Tom volt ügyeletben.
Tom was panting.	Tom festett.
Tom was perfect.	Tom tökéletes volt.
Tom was praying.	Tom imádkozott.
Tom was shocked.	Tom megdöbbent.
Tom was smoking.	Tom dohányzott.
Tom was so sick.	Tom nagyon beteg volt.
Tom was sobbing.	Tom zokogott.
Tom was stabbed.	Tomot leszúrták.
Tom was the one.	Tom volt az.
Tom was trapped.	Tom csapdába került.
Tom was unarmed.	Tom fegyvertelen volt.
Tom was unhappy.	Tom szomorú volt.
Tom was unlucky.	Tominak nem volt szerencséje.
Tom was walking.	Tom sétált.
Tom was winning.	Tom nyerésben volt.
Tom was with me.	Tom velem volt.
Tom was working.	Tom dolgozott.
Tom was worried.	Tom aggódott.
Tom was wounded.	Tom megsebesült.
Tom wasn't bald.	Tom nem volt kopasz.
Tom wasn't busy.	Tom nem volt elfoglalt.
Tom wasn't good.	Tom nem volt jó.
Tom wasn't here.	Tom nem volt itt.
Tom wasn't home.	Tom nem volt otthon.
Tom wasn't hurt.	Tom nem sérült meg.
Tom wasn't nice.	Tom nem volt kedves.
Tom wasn't poor.	Tom nem volt szegény.
Tom wasn't rich.	Tom nem volt gazdag.
Tom wasn't sick.	Tom nem volt beteg.
Tom wasn't sick.	Tom nem volt rosszul.
Tom watches PBS.	Tom a PBS csatornát szokta nézni.
Tom went abroad.	Tom külföldre utazott.
Tom went hiking.	Tom elment kirándulni.
Tom went insane.	Tom megtébonyolodtt.
Tom went inside.	Tom bement.
Tom went skiing.	Tom síelni ment.
Tom went to bed.	Tom lefeküdt.
Tom will accept.	Tomi el fogja fogadni.
Tom will attend.	Tom részt fog venni.
Tom will change.	Tomi meg fog változni.
Tom will decide.	Tom fog dönteni.
Tom will fit in.	Tom be fog illeszkedni.
Tom will fix it.	Majd Tom megjavítja.
Tom will follow.	Tom követni fogja.
Tom will get it.	Tom meg fogja szerezni.
Tom will go far.	Tom messzire el fog menni.
Tom will listen.	Tom oda fog figyelni.
Tom will manage.	Tominak sikerülni fog.
Tom will remain.	Tom maradni fog.
Tom will scream.	Tom visítani fog.
Tom will see us.	Tom fogad minket.
Tom will starve.	Tom éhezni fog.
Tom will try it.	Tom ki fogja próbálni.
Tom will use it.	Tom használni fogja.
Tom winked back.	Tomi visszakacsintott.
Tom won the bet.	Tomi megnyerte a fogadást.
Tom won't argue.	Tom nem fog vitatkozni.
Tom won't budge.	Tom nem fog engedni.
Tom won't do it.	Tom nem fogja megtenni.
Tom wore a mask.	Tom maszkot viselt.
Tom worked here.	Tom itt dolgozott.
Tom works a lot.	Tom sokat dolgozik.
Tom works there.	Tamás ott dolgozik.
Tom'll find out.	Tamás meg fogja tudni.
Tom'll find out.	Tamás rá fog jönni.
Tom'll find out.	Tamás majd kideríti.
Tom'll remember.	Tom emlékezni fog.
Tom's conscious.	Tom tudatánál van.
Tom's conscious.	Tom észnél van.
Tom's delirious.	Tom félrebeszél.
Tom's desperate.	Tom kétségbeesett.
Tom's different.	Tom más.
Tom's important.	Tom fontos.
Tom's listening.	Tom figyel.
Tom's listening.	Tom hallgat.
Tom's miserable.	Tom szerencsétlen.
Tom's paralyzed.	Tom megbénult.
Tom's suffering.	Tom szenved.
Tom's surprised.	Tom meglepett.
Tom's terrified.	Tom megrémült.
Tom's turn came.	Tom következett.
Tom's very lazy.	Tom nagyon lusta.
Tom's very weak.	Tom nagyon gyenge.
Tom, be careful!	Tom, légy óvatos!
Unlock the door.	Nyisd ki az ajtót!
Wait in the car.	Várj a kocsiban!
Wait one minute.	Várj egy percet!
Wait right here.	Pontosan itt várj!
Walls have ears.	Füle van a falnak.
Was Tom rescued?	Megmentették Tomot?
Wash everything.	Mindent moss!
Wash the dishes.	Mosogass el!
Watch and learn.	Figyelj és tanulj!
Watch carefully.	Nézd meg alaposan!
Watch carefully.	Nézd meg gondosan!
Watch carefully.	Oda figyelj ám!
Watch your head!	Vigyázz a fejedre!
We all know Tom.	Mindannyian ismerjük Tomit.
We all know why.	Mindannyian tudjuk, miért.
We all like you.	Mindannyian kedvelünk.
We all love you.	Mindannyian szeretünk.
We all love you.	Mi mindnyájan szeretünk téged!
We all miss you.	Mindannyiunknak hiányzol.
We all suffered.	Mindannyian szenvedtünk.
We are in Paris.	Párizsban vagyunk.
We are students.	Diákok vagyunk.
We are teachers.	Tanárok vagyunk.
We are the best.	A legjobbak vagyunk.
We are the best.	Mi vagyunk a legjobbak.
We aren't ready.	Nem állunk készen.
We both laughed.	Mindketten nevettünk.
We both saw you.	Mindketten láttunk.
We can help you.	Tudunk neked segíteni.
We can pay cash.	Tudunk készpénzben fizetni.
We did it again.	Megint megcsináltuk.
We did it again.	Ismét megtettük.
We did our jobs.	Elvégeztük a feladatunkat.
We got the news.	Megkaptuk a híreket.
We had a chance.	Volt esélyünk.
We had no money.	Nem volt pénzünk.
We have a house.	Van egy házunk.
We have arrived.	Megérkeztünk.
We have bananas.	Van banánunk.
We have changed.	Megváltoztunk.
We have no plan.	Nincs tervünk.
We have no time.	Nincs időnk.
We have nothing.	Nincs semmink.
We have ponchos.	Vannak poncsóink.
We have to help.	Segítenünk kell.
We have to wait.	Várnunk kell.
We left at 2:30.	Fél háromkor indultunk.
We like to help.	Szívesen segítünk.
We lost our way.	Eltévedtünk.
We love it here.	Imádunk itt lenni.
We made waffles.	Gofrit készítettünk.
We met a writer.	Találkoztunk egy íróval.
We must act now.	Most kell cselekednünk.
We must do more.	Többet kell tennünk.
We must find it.	Meg kell találnunk.
We planted rice.	Rizst ültettünk.
We respect them.	Tiszteljük őket.
We said nothing.	Semmit sem mondtunk.
We should study.	Tanulnunk kellene.
We should study.	Tanulnunk kéne.
We study Arabic.	Arabul tanulunk.
We walked a lot.	Sokat sétáltunk.
We want freedom.	Szabadságot akarunk.
We want justice.	Igazságot szeretnénk.
We want respect.	Tiszteletet követelünk.
We want revenge.	Bosszút akarunk állni.
We want to work.	Dolgozni akarunk.
We were enemies.	Ellenségek voltunk.
We were excited.	Izgatottak voltunk.
We were friends.	Barátok voltunk.
We were worried.	Aggódtunk.
We will survive.	Életben fogunk maradni.
We won the game.	Megnyertük a játékot.
We'll camp here.	Itt letáborozunk.
We'll talk soon.	Hamarosan beszélünk.
We're Canadians.	Mi kanadaiak vagyunk.
We're all ready.	Mi mind készen vagyunk.
We're available.	Elérhetők vagyunk.
We're busy, Tom.	Sok dolgunk van, Tamás.
We're busy, Tom.	Nem érünk rá, Tamás.
We're committed.	Elkötelezettek vagyunk.
We're confident.	Magabiztosak vagyunk.
We're contented.	Elégedettek vagyunk.
We're depressed.	Depressziósok vagyunk.
We're desperate.	Kétségbe vagyunk esve.
We're easygoing.	Lazák vagyunk.
We're energetic.	Energikusak vagyunk.
We're exhausted.	Kimerültünk.
We're fixing it.	Már csináljuk.
We're fixing it.	Most javítjuk.
We're fortunate.	Szerencsések vagyunk.
We're gardeners.	Kertészek vagyunk.
We're giving up.	Feladjuk.
We're impatient.	Türelmetlenek vagyunk.
We're intrigued.	Kíváncsiak vagyunk.
We're listening.	Hallgatunk.
We're newlyweds.	Friss házasok vagyunk.
We've got to go.	Mennünk kell.
Were they right?	Igazuk volt?
Were you crying?	Sírtál?
What a cute cat!	Milyen aranyos macska!
What a nice guy!	Milyen rendes fickó!
What a nice man!	Milyen kedves férfi!
What a pleasure!	Micsoda élvezet!
What a treasure!	Milyen kincs!
What am I doing?	Mit csinálok?
What could I do?	Mit tehetnék?
What do we have?	Mink van?
What is missing?	Mi hiányzik?
What is missing?	Hiányzik valami?
What killed Tom?	Mi ölte meg Tomot?
What scared you?	Mi ijesztett meg téged?
What time is it?	Hány óra van?
What time is it?	Mennyi az idő?
What was inside?	Mi volt bent?
What was stolen?	Mit loptak el?
What went wrong?	Mi romlott el?
What'll be next?	Mi lesz azután?
What's Tom like?	Tamás milyen?
What's happened?	Mi történt?
What's so funny?	Mi olyan vicces?
What's the time?	Hány óra van?
What's the time?	Mennyi az idő?
What's up, dude?	Mi a helyzet, öreg?
What's your job?	Mit dolgozol?
What've you got?	Mi történt veled?
When can we eat?	Mikor ehetünk?
When did it end?	Mikor ért véget?
Where do I sign?	Hol írjam alá?
Where is Father?	Apa hol van?
Where is my car?	Hol van az autóm?
Where were they?	Hol voltak ők?
Where's Tom now?	Tom most hol van?
Where's the cat?	Hol van a macska?
Where's the ice?	Hol van a jég?
Which is better?	Melyik a jobb?
Who can help me?	Ki tud nekem segíteni?
Who contributed?	Ki járult hozzá?
Who did you see?	Kit láttál?
Who did you see?	Kit láttatok?
Who fired first?	Ki lőtt először?
Who fired first?	Ki tüzelt először?
Who is that guy?	Ki az az alak?
Who is that guy?	Ki az a pofa?
Who is that guy?	Ki az a figura?
Who likes beans?	Ki szereti a babot?
Who stabbed Tom?	Ki szúrta le Tomit?
Who surrendered?	Ki adta meg magát?
Who teaches you?	Ki tanít téged?
Who volunteered?	Ki jelentkezett önként?
Who wrote these?	Ki írta ezeket?
Who'll be there?	Ki lesz ott?
Who's the loser?	Ki a vesztes?
Why are we here?	Miért vagyunk itt?
Why are you sad?	Miért vagy szomorú?
Why did you ask?	Miért kérdezted?
Why do that now?	Miért most tegyük ezt?
Wolves scare me.	Félek a farkastól.
Would $300 help?	300 dollár segítene?
Would $300 help?	3000 dollár segítene?
Write your name.	Írd le a neved!
You almost died.	Majdnem meghaltál.
You always sing.	Mindig énekelsz.
You are naughty.	Huncut vagy.
You are naughty.	Szófogadatlan vagy.
You are naughty.	Önfejű vagy.
You are naughty.	Illetlen vagy.
You betrayed me.	Elárultál engem.
You can ask Tom.	Megkérdezheted Tamást.
You can come in.	Bejöhetsz.
You can do that.	Meg tudod tenni.
You can do this.	Meg tudod csinálni.
You can go home.	Hazamehetsz.
You can have it.	A tiéd lehet.
You cannot lose.	Nem veszíthettek.
You deserved it.	Megérdemelted.
You have to eat.	Enned kell.
You know better.	Jobban tudod.
You know enough.	Eleget tudsz.
You know people.	Ismersz embereket.
You look sleepy.	Álmosnak látszol.
You look sleepy.	Álmosnak tűnsz.
You look stupid.	Bután nézel ki.
You lucky devil!	Te mázlista!
You may go home.	Hazamehettek.
You may go home.	Hazamehetnek.
You must be Tom.	Maga biztosan Tom.
You need a ride?	Elvigyelek?
You promised me.	Megígérted nekem.
You should come.	Jönnöd kellene.
You should vote.	Szavaznod kellene.
You smell awful.	Rémes szagod van.
You sound angry.	Úgy hangzik, hogy dühös vagy.
You startled us.	Megdöbbentettél minket.
You'd regret it.	Bánnád.
You'd regret it.	Megbánnád.
You'll be happy.	Boldog leszel.
You'll die soon.	Hamarosan meghalsz.
You'll die soon.	Nemsokára meg fogsz halni.
You're a nobody.	Egy nagy nulla vagy.
You're a person.	Te egy személy vagy.
You're a person.	Te egy ember vagy.
You're adorable.	Imádnivaló vagy.
You're annoying.	Idegesítő vagy.
You're arrogant.	Arrogáns vagy.
You're artistic.	Művészi vagy.
You're athletic.	Sportos vagy.
You're barbaric.	Barbár vagy.
You're bleeding.	Vérzel.
You're bluffing.	Blöffölsz.
You're careless.	Elővigyázatlan vagy.
You're careless.	Hanyag vagy.
You're charming.	Elbűvölő vagy.
You're cheating.	Te csalsz!
You're confused.	Össze vagy zavarodva.
You're credible.	Hihető vagy.
You're cultured.	Kulturált vagy.
You're decisive.	Meggyőző vagy.
You're demented.	Őrült vagy.
You're demented.	Dementálódtál.
You're demented.	Megháborodtál.
You're diligent.	Szorgalmas vagy.
You're discreet.	Diszkrét vagy.
You're disloyal.	Illojális vagy.
You're dreaming.	Álmodozol.
You're eloquent.	Meggyőző vagy.
You're fabulous.	Mesés vagy.
You're faithful.	Hívő vagy.
You're fearless.	Nem ismered a félelmet.
You're forgiven.	Megbocsátok neked.
You're forgiven.	Bocsánatot nyertél.
You're generous.	Nagylelkű vagy.
You're grounded.	Szobafogságban vagy.
You're gullible.	Naiv vagy.
You're gullible.	Hiszékeny vagy.
You're hammered.	Totál részeg vagy.
You're handsome.	Jóképű vagy.
You're hopeless.	Reménytelen vagy.
You're horrible.	Borzalmas vagy.
You're my child.	A gyerekem vagy.
You're my enemy.	Az ellenségem vagy.
You're my enemy.	Ti vagytok az ellenségeim.
You're my guest.	A vendégem vagy.
You're pathetic.	Szánalmas vagy.
You're reliable.	Megbízható vagy.
You're safe now.	Már biztonságban vagy.
You're so young.	Annyira fiatal vagy.
You're terrible.	Szörnyű vagy.
You're terrible.	Rémes vagy.
You're the boss.	Te vagy a főnök.
You're the cook.	Te vagy a szakács.
You're up early.	Te aztán korán keltél!
You've found it.	Megtaláltad.
